date,open,high,low,close,volume
2017-07-03,342.0,350.0,340.67,344.27,1145284
2017-07-04,345.4,347.63,340.67,341.33,980230
2017-07-05,342.0,345.93,338.67,344.93,798997
2017-07-06,345.33,347.13,337.37,337.9,2163602
2017-07-07,336.7,341.1,332.93,334.13,2215191
2017-07-10,334.2,342.67,334.2,341.6,11453866731
2017-07-11,341.95,345.0,336.0,341.0,3725783
2017-07-12,343.0,360.4,338.9,359.6,7037802
2017-07-13,367.0,381.75,361.75,375.5,12135556
2017-07-14,375.75,391.95,368.95,391.9,5758141
2017-07-17,382.7,388.9,371.25,376.0,4424452
2017-07-18,374.5,383.7,365.7,369.3,4420175
2017-07-19,372.35,389.5,370.2,382.0,6017309
2017-07-20,369.0,376.45,364.5,368.1,6959217
2017-07-21,369.05,371.45,357.05,369.8,4268196
2017-07-24,371.65,378.35,367.35,368.75,4477727
2017-07-25,369.45,375.0,365.7,373.0,3120309
2017-07-26,374.5,375.45,369.05,370.7,2660157
2017-07-27,371.0,374.75,363.6,368.0,3806226
2017-07-28,368.1,375.25,367.2,375.0,3876233
2017-07-31,375.2,384.25,371.45,382.75,4083678
2017-08-01,384.0,391.8,381.45,386.45,4450056
2017-08-02,387.8,388.0,381.05,385.0,2344721
2017-08-03,387.6,407.5,386.4,396.5,9953971
2017-08-04,399.0,440.9,394.1,436.5,14593397
2017-08-07,429.4,462.4,425.1,457.35,11099115
2017-08-08,452.4,455.4,432.2,437.0,7664671
2017-08-09,429.5,447.15,420.0,429.0,7615440
2017-08-10,423.55,431.0,400.25,419.9,6406039
2017-08-11,406.15,437.5,398.15,427.8,9808875
2017-08-14,434.5,442.6,424.75,438.5,4282662
2017-08-16,439.55,443.6,431.2,436.3,3320776
2017-08-17,438.4,443.65,432.45,434.5,3782863
2017-08-18,432.55,450.8,429.85,445.35,6124682
2017-08-21,447.8,452.35,430.65,435.7,4331404
2017-08-22,434.8,454.05,434.8,451.5,8259937
2017-08-23,453.25,462.6,447.25,457.4,3801896
2017-08-24,456.45,470.9,453.05,466.3,4714451
2017-08-28,468.2,468.45,457.35,464.0,4736177
