date,open,high,low,close,volume
2017-07-03,99.36,100.24,97.28,99.8,4332347
2017-07-04,100.32,100.64,97.68,98.16,3988116
2017-07-05,97.64,99.44,97.64,99.2,2175584
2017-07-06,99.32,101.6,98.68,100.12,5501840
2017-07-07,101.0,102.4,100.12,100.8,4503304
2017-07-10,100.8,102.4,100.8,101.32,32215367959
2017-07-11,101.92,101.96,98.4,98.88,5468624
2017-07-12,98.84,101.84,98.84,101.08,8673663
2017-07-13,102.52,102.52,100.08,100.8,5946282
2017-07-14,100.4,100.52,98.08,99.2,11820768
2017-07-17,99.48,100.4,98.56,99.92,12597842
2017-07-18,99.0,99.96,98.08,98.36,4600626
2017-07-19,98.76,99.24,97.88,98.88,3785173
2017-07-20,99.12,102.04,98.6,101.6,8157719
2017-07-21,101.92,103.4,101.44,102.84,10189492
2017-07-24,103.04,103.04,100.56,101.92,4994707
2017-07-25,102.08,102.2,99.52,99.68,6359627
2017-07-26,99.96,100.32,98.0,98.24,8277687
2017-07-27,98.64,99.56,96.8,97.48,3593924
2017-07-28,97.56,99.08,96.8,98.64,3002312
2017-07-31,99.0,99.8,98.4,99.6,2498547
2017-08-01,99.72,100.88,97.52,97.72,9856762
2017-08-02,98.08,98.44,96.96,97.28,3406985
2017-08-03,97.84,102.64,97.56,100.96,12957277
2017-08-04,102.16,103.24,101.4,102.52,8747177
2017-08-07,103.44,109.96,103.2,109.68,11830074
2017-08-08,110.44,111.72,106.6,108.92,9855493
2017-08-09,108.68,110.68,106.4,106.48,6872516
2017-08-10,105.6,107.32,98.16,99.6,21680578
2017-08-11,93.92,96.96,92.24,93.68,17518938
2017-08-14,94.6,96.24,93.36,95.2,6177712
2017-08-16,95.48,96.24,93.04,94.72,5497103
2017-08-17,94.72,102.68,94.56,100.72,15369420
2017-08-18,98.04,101.28,97.28,98.52,7994571
2017-08-21,98.88,99.92,94.4,95.36,7525869
2017-08-22,96.0,96.72,92.92,93.36,7212791
2017-08-23,94.28,97.0,94.08,96.88,4714969
2017-08-24,96.56,97.76,95.6,96.8,4968591
2017-08-28,97.44,99.12,96.96,98.0,5535936
2017-08-29,96.8,98.4,96.16,96.16,3912668
2017-08-30,97.2,99.84,97.2,98.88,4610143
2017-08-31,98.92,99.32,96.56,97.84,14500091
2017-09-01,97.96,99.28,97.96,98.8,3120847
2017-09-04,98.36,99.04,96.6,97.76,4985617
2017-09-05,98.84,98.84,97.48,98.08,1781502
2017-09-06,97.56,100.76,97.4,99.8,5068391
2017-09-07,100.28,100.6,98.24,98.4,5076701
2017-09-08,99.48,99.6,98.2,98.76,4027895
2017-09-11,99.52,101.92,99.28,101.64,6495710
2017-09-12,101.96,102.36,100.24,101.84,2962369
2017-09-13,101.84,105.52,101.48,102.96,9372731
2017-09-14,102.96,107.44,102.96,105.04,9180844
2017-09-15,104.08,105.92,104.08,105.56,8679021
2017-09-18,105.56,106.24,104.64,105.12,2923907
2017-09-19,105.36,108.16,104.08,108.0,6652277
2017-09-20,108.8,109.04,106.28,106.4,5817323
2017-09-21,106.8,107.4,103.76,105.68,5112716
2017-09-22,105.12,105.12,100.28,100.84,4310695
2017-09-25,101.12,103.44,99.28,103.12,5985353
2017-09-26,103.68,103.92,99.76,100.88,5346038
2017-09-27,101.2,101.2,95.8,96.72,5771273
2017-09-28,97.08,99.6,96.28,98.12,8076206
2017-09-29,98.24,99.04,96.92,97.72,4179702
2017-10-03,97.96,100.0,97.8,99.32,4145833
2017-10-04,99.32,100.32,98.48,99.36,3265510
2017-10-05,99.68,101.0,99.24,99.8,2696159
2017-10-06,99.92,100.76,99.6,100.2,3501096
2017-10-09,99.48,100.04,97.68,98.76,4619662
2017-10-10,98.56,99.52,97.76,98.72,3912106
2017-10-11,98.72,99.72,96.52,96.68,4650583
2017-10-12,97.12,97.56,95.08,95.96,10333897
2017-10-13,95.72,100.52,95.24,98.96,10000551
2017-10-16,99.84,99.96,97.6,98.44,4403847
2017-10-17,99.0,103.04,98.32,102.24,9652436
2017-10-18,102.36,106.16,102.2,105.4,10481172
2017-10-23,103.92,106.84,103.48,105.92,19371104828
2017-10-24,106.24,106.32,104.4,106.08,4057608
2017-10-25,107.88,113.72,105.48,113.56,16810414
2017-10-26,114.0,117.76,113.28,115.2,23305494
2017-10-27,115.44,119.64,115.44,116.56,10371629
2017-10-30,116.4,118.0,114.32,115.04,5037242
2017-10-31,115.44,115.52,110.6,111.68,8888300
2017-11-01,112.2,113.84,110.44,112.44,8725821
2017-11-02,112.56,117.24,112.08,116.44,13526981
2017-11-03,117.08,118.56,110.84,113.04,29308730
2017-11-06,114.04,114.44,109.04,109.56,19437991
2017-11-07,111.12,112.0,108.0,108.76,12166495
2017-11-08,109.44,111.88,108.68,110.4,14956883
2017-11-09,110.4,111.52,108.8,110.4,7232365
2017-11-10,105.44,105.36,100.44,101.6,11890912
2017-11-13,101.76,103.6,99.4,101.64,9129188
2017-11-14,102.16,102.68,99.88,100.08,5065641
2017-11-15,99.92,99.76,96.76,97.88,14008797
2017-11-16,97.92,100.8,98.08,100.32,7197130
2017-11-17,101.72,104.36,100.64,100.84,10882174
2017-11-20,100.8,102.72,100.2,101.48,6661456
2017-11-21,101.92,103.56,101.76,102.4,6107704
2017-11-22,102.8,103.12,101.28,102.32,4459928
2017-11-23,102.28,103.6,101.48,102.24,5118120
2017-11-24,102.16,102.72,101.28,102.0,2105491
2017-11-27,101.6,102.32,101.24,101.8,2321893
2017-11-28,101.72,101.92,99.28,99.6,7070966
2017-11-29,99.68,100.48,98.64,98.8,6732343
2017-11-30,98.12,99.6,96.24,96.72,15181806
2017-12-01,97.36,98.32,94.92,95.52,7182690
2017-12-04,95.68,96.92,94.72,96.76,5361862
2017-12-05,96.84,96.84,94.88,95.6,6664117
2017-12-06,95.6,96.72,94.44,94.64,4504158
2017-12-07,95.0,95.6,94.4,95.28,4794667
2017-12-08,96.36,97.12,96.0,96.72,4988889
2017-12-11,97.4,97.4,95.68,96.28,4091288
2017-12-12,96.36,96.6,92.6,92.76,11047765
2017-12-13,92.64,93.6,92.0,92.24,8248098
