date,open,high,low,close,volume
2017-07-03,328.8,333.45,328.65,330.9,1431227
2017-07-04,331.2,334.95,329.5,330.2,1421131
2017-07-05,330.85,334.85,330.05,332.9,1500392
2017-07-06,333.8,344.6,333.8,341.4,2902238
2017-07-07,341.25,348.2,340.0,347.05,2473049
2017-07-10,350.0,362.6,347.05,362.6,21475724793
2017-07-11,364.7,367.1,354.3,356.2,2248710
2017-07-12,356.0,360.5,351.7,359.5,1896379
2017-07-13,363.85,364.7,359.35,362.0,1653457
2017-07-14,362.45,369.0,357.2,367.5,2859237
2017-07-17,369.1,371.8,365.25,366.85,1811092
2017-07-18,365.95,374.65,364.3,369.05,2349283
2017-07-19,371.7,373.5,369.6,370.95,2779050
2017-07-20,352.55,359.95,350.3,352.4,7491055
2017-07-21,352.85,354.85,346.05,350.75,2909688
2017-07-24,351.6,355.35,350.3,352.4,3126285
2017-07-25,354.85,358.0,353.5,357.85,1723340
2017-07-26,358.3,360.4,355.3,357.0,1869595
2017-07-27,357.95,359.9,349.95,355.0,3093051
2017-07-28,354.4,364.8,350.6,364.35,2466748
2017-07-31,363.05,369.95,360.85,367.85,2318883
2017-08-01,369.5,370.0,361.1,363.5,2006411
2017-08-02,363.75,365.0,357.6,357.7,1595892
2017-08-03,358.75,358.75,344.75,347.0,2305846
2017-08-04,346.5,353.45,345.4,350.1,1817253
2017-08-07,351.6,354.7,350.4,352.0,844323
2017-08-08,353.4,353.65,344.6,346.0,1279536
2017-08-09,345.1,349.35,341.85,342.1,2122560
2017-08-10,340.8,343.0,322.75,335.5,2092613
2017-08-11,325.9,332.95,321.0,326.85,2224083
2017-08-14,330.4,331.45,326.35,330.65,1207315
2017-08-16,331.0,338.4,322.35,338.0,2232408
2017-08-17,336.9,341.95,333.5,335.0,1555708
2017-08-18,332.8,334.6,329.4,333.35,1618796
2017-08-21,334.65,337.0,325.3,326.0,1419146
2017-08-22,328.5,329.75,322.9,327.95,1544169
2017-08-23,329.0,337.25,327.35,335.2,2200568
2017-08-24,336.85,344.8,332.6,339.7,2146866
2017-08-28,342.5,343.8,337.6,339.85,1290570
2017-08-29,337.5,342.6,336.0,336.9,1278992
2017-08-30,340.9,341.6,337.1,339.9,920238
2017-08-31,340.0,340.8,336.0,340.8,1322618
2017-09-01,341.95,346.15,339.2,341.1,1352311
2017-09-04,341.0,342.7,332.9,334.5,954474
2017-09-05,336.5,339.3,335.45,337.8,1057337
2017-09-06,337.0,337.0,333.95,334.55,816258
2017-09-07,336.25,340.4,332.9,334.8,1187568
2017-09-08,336.3,337.0,328.15,331.5,1106509
2017-09-11,335.0,335.95,331.9,333.65,808503
2017-09-12,336.5,342.2,334.55,338.05,1783781
2017-09-13,340.0,345.8,338.8,340.4,1790206
2017-09-14,342.0,349.3,339.45,347.25,1670997
2017-09-15,345.1,350.0,345.0,346.9,2532069
2017-09-18,349.85,351.9,346.2,346.2,1009720
2017-09-19,347.5,347.8,341.05,343.0,1189970
2017-09-20,342.7,347.3,339.65,344.5,2057150
2017-09-21,345.0,345.95,336.4,340.1,1331079
2017-09-22,336.95,337.5,324.3,326.0,1711400
2017-09-25,322.5,327.5,314.35,327.0,2559165
2017-09-26,325.0,330.25,323.5,327.7,2329214
2017-09-27,329.9,330.95,315.15,316.95,2007444
2017-09-28,318.2,320.4,313.65,315.8,2072033
2017-09-29,317.5,319.9,306.7,308.8,3262953
2017-10-03,311.0,311.4,305.6,309.0,2001648
2017-10-04,309.55,311.75,305.6,308.0,2047280
2017-10-05,308.3,311.25,306.6,311.0,1203138
2017-10-06,312.5,316.0,311.65,315.5,2263940
2017-10-09,315.0,317.2,312.1,314.3,1299123
2017-10-10,315.05,316.6,313.0,313.35,827447
2017-10-11,314.75,317.05,302.2,303.05,1742298
2017-10-12,301.7,304.7,298.1,304.1,2490658
2017-10-13,305.55,312.5,302.4,307.0,2373747
2017-10-16,308.6,311.0,304.8,307.35,1296658
2017-10-17,308.0,312.5,307.9,308.8,1586727
2017-10-18,308.0,308.0,303.1,305.05,17159468125
2017-10-23,301.0,306.45,298.85,305.35,10482792561
2017-10-24,305.35,319.55,305.35,316.45,3342869
2017-10-25,348.8,443.75,348.8,442.0,35286437
2017-10-26,442.6,463.2,418.15,424.95,15706065
2017-10-27,423.75,433.0,401.4,404.9,5818742
2017-10-30,398.5,428.7,398.4,413.2,9633823
2017-10-31,413.7,418.75,403.7,407.2,4921564
2017-11-01,410.0,420.0,406.5,413.0,4300485
2017-11-02,413.05,414.45,401.2,403.4,4312271
2017-11-03,406.95,409.0,399.7,403.85,4191574
2017-11-06,403.0,411.5,402.3,405.0,2610104
2017-11-07,409.0,410.45,388.0,392.0,3308559
2017-11-08,393.0,401.7,384.0,391.15,3854735
2017-11-09,393.75,396.65,386.5,389.95,3179787
2017-11-10,387.0,398.75,385.4,391.5,4067508
2017-11-13,391.8,393.95,380.95,382.55,2308343
2017-11-14,383.4,386.3,376.2,379.8,1628824
2017-11-15,379.8,381.8,367.4,370.8,2078196
2017-11-16,372.9,386.0,370.15,385.35,3444655
2017-11-17,396.45,398.9,387.15,388.9,3520259
2017-11-20,387.1,395.85,385.6,394.95,2563110
2017-11-21,396.1,401.55,389.45,394.0,3584034
2017-11-22,394.2,400.85,388.4,398.0,4939082
2017-11-23,399.7,400.25,389.65,394.45,2673055
2017-11-24,394.7,397.2,389.4,390.0,2248097
2017-11-27,386.6,389.25,384.6,385.95,2125458
2017-11-28,385.95,389.55,381.6,384.8,2442981
2017-11-29,384.8,386.6,376.5,376.85,1922206
2017-11-30,375.3,377.65,370.7,373.2,3504859
2017-12-01,374.5,377.55,360.15,362.05,1807476
2017-12-04,365.0,369.5,360.65,368.6,2044481
2017-12-05,367.25,375.7,363.1,374.0,2557257
2017-12-06,372.5,373.45,361.85,362.5,1611219
2017-12-07,363.0,367.95,361.45,367.0,1627335
2017-12-08,367.9,369.75,364.25,366.0,997513
2017-12-11,369.0,370.3,364.45,366.6,924713
2017-12-12,366.3,371.5,363.0,367.95,2116393
2017-12-13,364.15,367.2,351.3,355.0,2092674
2017-12-14,355.0,360.6,352.75,356.8,2559468
2017-12-15,361.5,363.75,354.05,356.1,1883180
2017-12-18,354.8,368.5,341.25,365.0,3416997
2017-12-19,366.9,372.55,364.7,371.05,3044685
2017-12-20,371.95,370.2,364.15,365.55,1299143
2017-12-21,365.0,371.2,364.5,367.35,1093349
2017-12-22,369.65,377.4,367.8,370.7,3575877
2017-12-26,370.2,376.15,366.65,373.65,2170471
2017-12-27,376.0,379.65,366.8,367.5,2950025
2017-12-28,367.5,370.3,358.65,360.0,2177827
2017-12-29,361.9,365.7,359.5,360.2,1210593
2018-01-01,361.7,365.95,359.05,361.0,874165
2018-01-02,362.2,363.65,349.5,352.1,1441416
2018-01-03,352.1,356.35,351.15,352.15,1382075
2018-01-04,354.9,365.4,352.0,363.4,2747993
2018-01-05,365.8,367.1,359.25,366.0,1986387
2018-01-08,365.0,369.45,363.1,364.5,1213547
