date,open,high,low,close,volume
2017-07-03,362.4,370.8,360.05,366.0,91494
2017-07-04,370.0,374.0,362.35,366.5,130593
2017-07-05,363.8,369.55,358.7,362.95,119153
2017-07-06,365.0,370.0,361.95,363.75,65294
2017-07-07,366.9,384.45,366.25,381.6,173709
2017-07-10,400.0,400.0,381.45,387.0,21474857086
2017-07-11,387.35,388.85,381.3,385.0,269539
2017-07-12,388.85,388.85,378.35,381.0,187527
2017-07-13,382.6,384.7,377.0,377.1,70897
2017-07-14,379.1,383.0,373.0,374.5,41029
2017-07-17,370.3,375.8,366.3,370.0,83454
2017-07-18,370.0,385.0,367.95,374.8,94695
2017-07-19,374.8,383.95,373.5,382.65,64599
2017-07-20,381.45,388.95,375.55,383.0,91054
2017-07-21,383.0,386.0,376.05,381.2,29036
2017-07-24,381.25,385.05,378.8,382.15,92694
2017-07-25,381.0,384.95,377.8,380.0,253642
2017-07-26,380.0,388.95,374.35,375.25,130036
2017-07-27,380.3,391.0,375.5,386.0,115631
2017-07-28,389.45,401.25,385.65,390.0,871233
2017-07-31,385.0,388.95,376.45,386.0,186741
2017-08-01,386.8,393.35,382.4,386.5,183463
2017-08-02,384.15,388.75,376.55,380.0,100867
2017-08-03,387.75,388.95,378.5,385.0,102374
2017-08-04,390.0,401.9,387.5,398.55,203915
2017-08-07,393.0,406.0,383.5,384.5,1850131
2017-08-08,385.95,387.9,373.2,374.55,104366
2017-08-09,376.0,384.0,367.9,370.95,129496
2017-08-10,370.0,381.0,352.0,366.8,231149
2017-08-11,365.75,374.3,348.0,367.65,57088
2017-08-14,378.0,378.0,366.7,372.25,145919
2017-08-16,378.0,378.0,367.2,371.65,272552
2017-08-17,375.8,378.0,367.5,368.35,40416
2017-08-18,368.35,371.7,367.25,370.3,35342
2017-08-21,372.0,374.55,367.45,370.0,60394
2017-08-22,369.0,381.0,367.05,374.0,153269
2017-08-23,377.2,380.9,373.5,379.0,25509
2017-08-24,382.9,382.9,361.55,368.0,130373
2017-08-28,369.95,377.3,369.0,376.25,63310
2017-08-29,376.0,376.0,363.95,372.0,110834
2017-08-30,374.1,380.95,368.0,374.7,81641
2017-08-31,378.7,384.0,372.1,381.0,86883
2017-09-01,381.9,393.0,379.05,391.9,114849
2017-09-04,390.0,398.65,387.6,396.7,125320
2017-09-05,400.0,426.6,394.7,422.4,745989
2017-09-06,419.85,429.75,410.05,418.0,166747
2017-09-07,424.9,437.8,422.9,430.5,221646
2017-09-08,430.0,435.75,415.15,417.0,66551
2017-09-11,417.0,427.5,410.4,412.0,58991
2017-09-12,413.05,432.9,413.05,414.0,184975
2017-09-13,416.0,422.4,397.25,400.7,91923
2017-09-14,402.2,408.0,387.0,388.05,115282
2017-09-15,388.0,399.0,387.5,398.9,250573
2017-09-18,402.9,429.9,397.45,418.0,489905
2017-09-19,425.8,427.5,415.1,422.05,229269
2017-09-20,426.8,432.0,421.15,425.9,603756
2017-09-21,428.2,428.2,413.0,415.35,112490
2017-09-22,414.0,422.25,405.0,410.0,125970
2017-09-25,423.05,439.0,413.85,423.7,708260
2017-09-26,423.0,424.0,416.15,420.05,89643
2017-09-27,418.0,423.2,411.35,415.0,57634
2017-09-28,422.9,422.9,407.0,412.0,31154
2017-09-29,414.4,428.0,412.2,425.5,220336
2017-10-03,427.0,428.05,412.05,420.0,162590
2017-10-04,422.3,426.95,418.45,423.2,902518
2017-10-05,419.0,429.0,412.2,418.0,195417
2017-10-06,420.75,426.25,420.5,422.3,185087
2017-10-09,421.7,435.5,417.9,425.0,299004
2017-10-10,429.0,432.15,416.25,416.7,360281
2017-10-11,419.95,428.65,401.55,402.3,2028769
2017-10-12,405.5,422.8,405.05,417.5,768780
2017-10-13,418.3,471.2,415.25,448.5,2454006
2017-10-16,449.0,483.75,442.25,475.1,1494425
2017-10-17,475.25,482.65,459.15,469.0,820066
2017-10-18,469.0,470.0,456.6,464.75,335441
2017-10-23,462.0,475.4,461.25,466.45,19954361536
2017-10-24,468.05,470.0,461.2,465.8,202830
2017-10-25,466.0,475.0,455.0,460.0,99174
2017-10-26,457.35,466.0,452.15,452.8,106435
2017-10-27,459.6,464.0,450.15,450.5,71852
2017-10-30,455.0,461.9,452.6,459.9,77880
2017-10-31,458.3,481.5,455.2,473.5,851447
2017-11-01,480.0,508.95,470.0,486.8,765737
2017-11-02,490.1,503.8,488.9,496.45,356699
2017-11-03,497.25,506.0,490.25,492.6,421818
2017-11-06,498.2,503.15,489.0,500.9,345726
2017-11-07,499.2,502.95,485.5,490.0,242733
2017-11-08,494.8,496.95,486.5,488.0,162436
2017-11-09,494.4,494.4,486.0,487.45,88441
2017-11-10,492.95,496.9,475.0,475.35,337720
2017-11-13,480.9,480.9,459.1,463.8,81063
2017-11-14,462.1,463.15,452.1,455.1,50158
2017-11-15,458.95,477.0,457.3,470.0,249008
2017-11-16,470.0,473.45,456.0,470.0,244395
2017-11-17,479.0,479.0,461.95,469.0,312807
2017-11-20,470.0,490.5,468.4,478.5,225819
2017-11-21,485.0,496.45,484.0,490.2,164503
2017-11-22,498.0,513.85,496.6,510.0,497754
2017-11-23,508.6,528.6,497.0,510.5,274409
