stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
BHARTIARTL,2020-08-24,2020-09-08,531.25,495.7,11,-6.691764705882355
BHARTIARTL,2022-03-07,2022-05-13,677.2,685.85,45,1.2773183697578228
TATASTEEL,2020-02-20,2020-09-23,44.4,36.11,146,-18.67117117117117
TATASTEEL,2022-10-20,2022-12-22,101.05,107.3,43,6.185056902523503
LUPIN,2022-06-14,2022-10-06,614.95,721.15,78,17.269696723310826
SHRIRAMFIN,2021-12-27,2022-07-04,1226.9,1259.3,129,2.6408020213546224
SHRIRAMFIN,2022-01-20,2022-07-04,1226.0,1259.3,111,2.716150081566065
TITAN,2022-04-18,2022-05-04,2493.25,2280.0,11,-8.553093352050537
PETRONET,2020-03-13,2020-08-20,230.7,250.2,108,8.45253576072822
PETRONET,2021-07-16,2021-10-01,221.95,235.35,52,6.03739580986709
DELTACORP,2020-03-20,2020-10-22,63.5,108.8,147,71.33858267716535
DELTACORP,2022-06-17,2022-11-29,184.5,228.1,111,23.631436314363143
DELTACORP,2023-02-28,2023-05-10,187.9,205.0,45,9.10058541777541
GODREJCP,2021-03-19,2021-04-22,675.0,704.95,20,4.437037037037044
GODREJCP,2021-11-10,2021-12-06,973.75,887.3,17,-8.87804878048781
GODREJCP,2022-06-09,2022-07-07,762.0,854.4,20,12.1259842519685
BRITANNIA,2020-11-19,2021-01-29,3520.0,3508.0,48,-0.3409090909090909
BRITANNIA,2021-02-04,2021-04-26,3572.0,3545.0,52,-0.7558790593505039
BRITANNIA,2021-10-06,2021-10-25,3933.1,3626.0,12,-7.808090310442142
HDFCLIFE,2022-03-02,2022-09-14,559.85,577.6,133,3.1704920960971688
HDFCLIFE,2022-10-10,2023-02-01,533.3,516.4,79,-3.168948059253699
HDFCLIFE,2022-12-29,2023-02-01,570.4,516.4,23,-9.46704067321178
LAURUSLABS,2021-11-15,2022-03-14,490.45,578.0,82,17.85095320623917
LAURUSLABS,2022-01-28,2022-03-14,497.8,578.0,30,16.110887906789873
BANKBARODA,2021-12-31,2022-05-13,81.95,94.3,89,15.070164734594258
BANKBARODA,2022-06-23,2022-06-30,96.25,97.8,5,1.6103896103896076
GNFC,2021-11-26,2022-06-20,412.3,544.6,140,32.08828522920204
GNFC,2021-12-10,2022-06-20,421.0,544.6,130,29.358669833729223
GNFC,2022-11-21,2023-05-18,575.0,596.15,121,3.6782608695652135
GNFC,2023-02-08,2023-05-18,540.8,596.15,65,10.234837278106514
COALINDIA,2020-10-09,2021-01-27,115.25,129.25,75,12.147505422993492
COALINDIA,2021-11-23,2021-12-06,156.5,148.8,9,-4.92012779552715
COALINDIA,2023-02-15,2023-02-21,213.5,214.55,4,0.4918032786885299
JSWSTEEL,2022-06-15,2022-08-22,563.05,643.4,46,14.270491075392954
JSWSTEEL,2023-05-22,2023-05-24,702.7,696.5,2,-0.882311085811875
JSWSTEEL,2023-05-30,2023-10-23,705.3,746.1,100,5.7847724372607505
HAVELLS,2022-06-14,2022-07-20,1122.0,1220.9,26,8.814616755793235
NESTLEIND,2020-08-18,2020-09-14,1655.0,1606.9,19,-2.9063444108761276
NESTLEIND,2021-10-26,2022-01-27,1920.1,1835.0,64,-4.432060830165091
CROMPTON,2022-03-29,2022-08-22,379.0,389.5,99,2.7704485488126647
CROMPTON,2023-03-21,2023-08-24,292.05,305.05,105,4.451292586885807
DEEPAKNTR,2023-02-15,2023-07-10,1799.5,1980.0,96,10.030564045568212
GMRINFRA,2022-03-08,2022-03-24,37.6,36.85,11,-1.9946808510638296
IDEA,2020-10-08,2021-03-17,8.95,9.85,110,10.055865921787714
IDEA,2021-04-27,2021-06-09,8.65,9.7,30,12.138728323699409
IDEA,2021-08-18,2021-10-29,6.35,9.5,49,49.60629921259843
ICICIGI,2022-05-25,2022-08-19,1260.0,1288.0,60,2.2222222222222223
ABFRL,2023-04-06,2023-10-23,216.8,214.0,135,-1.2915129151291564
ABFRL,2023-05-23,2023-10-23,194.5,214.0,105,10.025706940874036
BALRAMCHIN,2022-08-22,2022-12-23,342.5,383.25,85,11.897810218978103
BALRAMCHIN,2023-05-29,2023-07-13,393.8,376.95,32,-4.278821736922301
ICICIBANK,2020-03-13,2020-10-13,449.95,395.45,145,-12.112456939659962
ICICIBANK,2020-03-20,2020-10-13,344.4,395.45,140,14.822880371660862
IGL,2021-03-19,2021-09-27,512.75,524.5,128,2.2915650901999025
MARUTI,2021-04-13,2021-06-16,6825.0,7108.5,43,4.153846153846154
MARUTI,2021-09-03,2021-10-01,6869.0,7152.0,19,4.1199592371524245
MARUTI,2021-12-29,2022-03-04,7350.0,7235.0,45,-1.5646258503401362
HAL,2020-05-07,2020-10-15,254.5,372.65,113,46.42436149312376
HAL,2020-09-24,2020-10-15,389.08,372.65,14,-4.222781947157399
BATAINDIA,2022-06-21,2022-08-10,1660.0,1876.7,35,13.054216867469881
DLF,2020-03-20,2020-10-26,141.0,166.15,149,17.836879432624116
DLF,2020-09-11,2020-10-26,154.25,166.15,30,7.714748784440846
DLF,2022-09-30,2022-10-11,357.0,357.95,6,0.2661064425770276
SYNGENE,2022-06-09,2022-07-22,538.0,569.5,31,5.855018587360595
SYNGENE,2022-06-13,2022-07-22,535.95,569.5,29,6.259912305252346
IBULHSGFIN,2020-04-16,2020-08-13,110.0,212.65,83,93.31818181818183
IBULHSGFIN,2023-02-15,2023-07-13,116.65,120.35,99,3.1718816973853308
GRANULES,2023-01-20,2023-01-24,312.9,306.9,2,-1.9175455417066156
GRANULES,2023-02-10,2023-07-20,289.85,311.0,107,7.29687769535966
RAMCOCEM,2022-03-29,2022-09-16,733.0,765.0,117,4.365620736698499
RAMCOCEM,2022-10-25,2022-12-16,711.2,711.2,36,0.0
CANFINHOME,2022-07-01,2022-09-21,441.45,552.0,55,25.04247366632688
INDIACEM,2022-02-18,2022-02-24,212.1,187.95,4,-11.38613861386139
INDIACEM,2022-06-14,2022-08-01,159.1,193.95,34,21.904462602137016
AUBANK,2022-06-14,2022-06-22,606.0,596.05,6,-1.6419141914191495
NTPC,2020-03-13,2020-08-31,99.5,96.85,115,-2.663316582914579
VEDL,2020-03-13,2020-10-12,85.2,96.55,144,13.321596244131447
CUMMINSIND,2020-10-13,2020-10-30,443.1,434.85,13,-1.8618821936357481
BALKRISIND,2022-02-28,2022-06-07,1819.0,2251.0,66,23.749312809235846
BALKRISIND,2022-03-07,2022-06-07,1825.15,2251.0,62,23.33232884968358
BALKRISIND,2022-09-06,2022-12-09,2003.0,2059.0,65,2.7958062905641534
SUNTV,2020-11-19,2021-03-25,421.65,451.0,86,6.960749436736635
SUNTV,2021-03-19,2021-03-25,478.55,451.0,4,-5.75697419287431
ALKEM,2021-03-25,2021-04-05,2652.0,2714.0,5,2.3378582202111615
ALKEM,2021-12-21,2022-04-01,3420.0,3498.0,70,2.280701754385965
ONGC,2022-10-20,2022-12-21,129.4,143.5,42,10.896445131375575
IOC,2022-06-29,2022-12-23,73.23,72.95,121,-0.382356957531068
