stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
CHOLAFIN,2017-08-07,2017-08-29,240.23,229.01,14,-4.670524081088956
TATASTEEL,2017-08-07,2017-11-13,51.91,59.7,65,15.00674243883646
BALKRISIND,2017-08-07,2017-08-14,824.5,765.0,5,-7.216494845360824
INDHOTEL,2017-08-07,2017-08-22,129.45,111.0,10,-14.252607184241011
M&M,2017-08-07,2017-08-22,700.03,686.6,10,-1.918489207605381
DABUR,2017-08-07,2018-01-31,318.5,356.5,120,11.930926216640502
GODREJPROP,2017-08-07,2017-08-10,507.75,500.35,3,-1.4574101427868
MARICO,2017-08-07,2017-08-21,334.2,318.8,9,-4.608019150209449
PVRINOX,2017-08-07,2017-08-11,1432.0,1284.65,4,-10.289804469273736
BERGEPAINT,2017-08-07,2017-09-26,207.71,201.38,34,-3.047518174377744
ALKEM,2017-08-07,2018-01-31,1890.0,2200.0,120,16.402116402116402
GUJGASLTD,2017-08-08,2017-11-17,156.4,167.6,68,7.161125319693087
SRF,2017-08-08,2017-08-29,309.58,292.44,13,-5.536533367788612
MGL,2017-08-08,2017-10-03,1065.0,1081.0,37,1.5023474178403755
ABBOTINDIA,2017-08-08,2017-08-21,4396.0,4225.0,8,-3.889899909008189
BAJAJ-AUTO,2017-08-08,2017-08-28,2921.0,2738.15,12,-6.259842519685037
SHREECEM,2017-08-08,2017-08-21,18005.0,17056.1,8,-5.2702027214662674
PETRONET,2017-08-08,2017-11-29,210.95,253.3,76,20.07584735719366
IGL,2017-08-08,2017-11-17,246.0,302.0,68,22.76422764227642
SHRIRAMFIN,2017-08-08,2017-08-21,970.05,959.2,8,-1.1184990464408957
SAIL,2017-08-08,2017-08-11,62.95,56.6,3,-10.087370929308976
MUTHOOTFIN,2017-08-08,2017-09-27,480.8,460.75,34,-4.170133111480868
BHARATFORG,2017-08-08,2017-11-28,595.5,696.95,75,17.036104114189765
NMDC,2017-08-09,2017-09-22,126.0,121.65,30,-3.4523809523809477
PAGEIND,2017-08-09,2017-12-06,16650.0,22071.0,80,32.55855855855856
CIPLA,2017-08-09,2017-09-06,558.7,557.75,18,-0.17003758725613843
UPL,2017-08-09,2017-08-11,555.33,542.0,2,-2.400374552068147
UBL,2017-08-09,2017-09-14,833.9,783.25,24,-6.073869768557379
SBIN,2017-08-10,2017-08-21,297.65,274.55,6,-7.760792877540725
TECHM,2017-08-10,2018-02-05,405.25,626.3,120,54.54657618753854
JSWSTEEL,2017-08-10,2017-09-25,224.05,236.3,30,5.4675295692925685
PIDILITIND,2017-08-10,2017-09-26,800.0,792.5,31,-0.9375
JKCEMENT,2017-08-10,2017-09-25,1018.0,940.0,30,-7.662082514734774
INDIGO,2017-08-10,2017-08-28,1270.05,1186.0,10,-6.617849690957045
TVSMOTOR,2017-08-10,2018-01-11,582.2,755.0,104,29.680522157334238
MARUTI,2017-08-11,2017-08-22,7480.0,7507.85,6,0.372326203208561
GAIL,2017-08-11,2017-11-15,92.38,112.25,63,21.50898462870752
POWERGRID,2017-08-11,2017-08-29,123.13,121.58,10,-1.2588321286445199
IBULHSGFIN,2017-08-16,2017-09-27,1203.0,1225.0,29,1.828761429758936
TATAPOWER,2017-08-16,2017-09-06,82.0,78.05,14,-4.817073170731711
HINDUNILVR,2017-08-16,2017-10-10,1187.0,1209.0,37,1.8534119629317607
