stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
LUPIN,2022-08-04,2022-08-23,660.0,697.0,19,5.606060606060606
SHRIRAMFIN,2023-06-21,2023-07-31,1732.1,1891.0,40,9.173835228912885
PETRONET,2023-10-30,2023-12-07,201.25,212.5,38,5.590062111801243
DELTACORP,2023-07-12,2023-07-31,190.0,200.0,19,5.263157894736842
DELTACORP,2023-09-25,2023-10-13,145.7,139.5,18,-4.255319148936162
INDUSTOWER,2022-02-24,2022-03-31,205.9,221.7,35,7.673627974745013
BRITANNIA,2022-11-07,2022-12-19,4125.0,4528.0,42,9.76969696969697
LAURUSLABS,2022-11-29,2022-12-02,408.5,423.0,3,3.549571603427173
GNFC,2022-02-07,2022-03-22,514.5,794.1,43,54.34402332361516
GNFC,2023-04-26,2023-05-18,588.8,596.15,22,1.2483016304347867
MGL,2023-03-06,2023-03-08,987.4,986.0,2,-0.14178651002632947
MGL,2023-05-09,2023-05-10,1073.0,1097.4,1,2.27399813606711
MGL,2023-10-03,2023-10-04,1107.95,1125.0,1,1.5388781082178757
CROMPTON,2023-04-25,2023-06-07,260.1,281.5,43,8.227604767397146
DEEPAKNTR,2023-05-24,2023-06-22,2130.05,2263.4,29,6.26041642214971
GMRINFRA,2023-12-08,2024-01-08,69.15,87.1,31,25.958062183658694
ICICIGI,2023-05-29,2023-07-11,1190.3,1343.1,43,12.837099890783833
ABFRL,2024-01-02,2024-01-04,242.75,246.9,2,1.7095777548918663
IGL,2023-10-20,2023-12-05,403.0,403.8,46,0.19851116625310455
SYNGENE,2022-10-19,2022-10-31,589.0,630.0,12,6.960950764006792
SYNGENE,2023-07-27,2023-08-07,810.0,836.2,11,3.234567901234574
SYNGENE,2023-10-18,2023-10-23,731.5,692.5,5,-5.331510594668489
RAMCOCEM,2023-05-19,2023-06-21,841.95,946.35,33,12.399786210582572
AUBANK,2023-04-13,2023-05-29,676.3,794.0,46,17.403519148306973
VEDL,2023-08-03,2023-08-04,253.85,249.0,1,-1.9105771124679907
CUMMINSIND,2023-02-09,2023-03-15,1579.9,1700.0,34,7.601746946009234
BALKRISIND,2022-11-15,2022-12-06,1963.95,2060.1,21,4.895745818376224
BALKRISIND,2023-02-13,2023-03-06,2041.35,2060.0,21,0.9136110906997865
AARTIIND,2023-05-10,2023-06-21,507.2,532.5,42,4.988170347003157
AARTIIND,2023-11-06,2023-12-19,510.3,608.1,43,19.16519694297472
LALPATHLAB,2022-12-21,2022-12-22,2435.0,2362.1,1,-2.9938398357289566
DRREDDY,2023-05-11,2023-05-16,4528.0,4519.85,5,-0.17999116607773047
ESCORTS,2022-09-19,2022-09-22,2089.95,2139.0,3,2.3469460991889846
GLENMARK,2023-02-13,2023-03-28,422.0,451.0,43,6.872037914691943
TATACHEM,2022-05-02,2022-05-05,1035.5,1049.0,3,1.3037180106228876
TATACHEM,2022-08-10,2022-08-12,1072.9,1117.0,2,4.110355112312416
TATACHEM,2023-04-18,2023-04-20,932.8,942.0,2,0.9862778730703308
COFORGE,2022-05-06,2022-05-18,3887.7,3938.05,12,1.2951102194099433
COFORGE,2023-08-24,2023-09-05,5375.0,5618.0,12,4.52093023255814
PAGEIND,2023-05-26,2023-06-07,37510.0,39230.0,12,4.585443881631565
BIOCON,2022-02-28,2022-04-13,349.6,350.15,44,0.15732265446222954
BIOCON,2023-03-17,2023-05-05,207.95,242.7,49,16.710747775907674
MFSL,2023-08-10,2023-09-11,852.0,953.1,32,11.866197183098594
AMBUJACEM,2023-01-25,2023-01-27,464.2,383.45,2,-17.395519172770356
AMBUJACEM,2023-01-27,2023-01-31,383.45,402.9,4,5.07236927891511
TORNTPHARM,2022-01-27,2022-03-11,1343.47,1410.0,43,4.9521016472269554
TORNTPHARM,2022-05-26,2022-07-07,1459.88,1475.0,42,1.0357015645121441
TORNTPHARM,2023-05-31,2023-07-13,1811.05,1934.6,43,6.822009331603211
LICHSGFIN,2022-11-02,2022-11-10,364.55,384.0,8,5.335344945823615
