Symbol,Buy date,Sell date,Buy Price,Sell Price,Shares,Profit,Profit Percentage,Hold Days
LUPIN,2023-11-24,2023-12-20,1242.85,1225.5,160,-2775.9999999999854,-1.3959850343967422,26
BOSCHLTD,2023-03-08,2023-03-13,18700.0,18000.05,10,-6999.500000000007,-3.7430481283422496,5
BOSCHLTD,2023-11-16,2024-01-12,20586.15,23260.0,9,24064.649999999987,12.98858698688195,57
SHRIRAMFIN,2023-12-04,2023-12-12,2099.0,2000.0,95,-9405.0,-4.7165316817532155,8
PETRONET,2019-12-17,2019-12-24,277.75,271.75,720,-4320.0,-2.16021602160216,7
INDUSTOWER,2021-11-16,2021-11-17,294.85,286.55,678,-5627.400000000008,-2.8149906732236767,1
BRITANNIA,2020-02-03,2020-02-10,3236.1,3155.0,61,-4947.099999999995,-2.506103025246436,7
LAURUSLABS,2020-07-10,2020-09-07,119.4,240.96,1675,203613.0,101.80904522613065,57
LAURUSLABS,2021-01-04,2021-01-13,359.0,347.4,557,-6461.200000000013,-3.23119777158775,9
LAURUSLABS,2021-01-25,2021-01-28,379.9,358.0,526,-11519.399999999989,-5.764674914451166,3
BANKBARODA,2023-06-19,2023-08-04,194.15,190.05,1030,-4222.9999999999945,-2.111769250579446,46
JSWSTEEL,2021-03-03,2021-03-05,426.8,407.85,468,-8868.599999999995,-4.440018744142453,2
HAVELLS,2019-01-22,2019-02-12,713.9,708.3,280,-1568.0000000000064,-0.7844235887379216,21
NESTLEIND,2020-12-10,2021-01-07,1830.0,1813.7,109,-1776.699999999995,-0.8907103825136587,28
DEEPAKNTR,2020-01-09,2020-01-31,390.0,387.35,512,-1356.7999999999884,-0.6794871794871736,22
DEEPAKNTR,2020-05-05,2020-05-19,512.0,501.5,390,-4095.0,-2.05078125,14
DEEPAKNTR,2020-12-29,2021-02-24,923.35,1321.0,216,85892.4,43.06600963881518,57
DEEPAKNTR,2021-08-30,2021-10-25,2275.0,2344.5,87,6046.5,3.054945054945055,56
BALRAMCHIN,2020-10-20,2020-11-02,161.95,153.25,1234,-10735.799999999987,-5.3720284038283355,13
BALRAMCHIN,2023-09-25,2023-10-04,438.25,425.1,456,-5996.39999999999,-3.000570450656013,9
MARUTI,2021-01-08,2021-01-27,8018.0,7861.45,24,-3757.2000000000044,-1.9524819156897004,19
HAL,2019-11-13,2019-11-25,400.5,391.0,499,-4740.5,-2.3720349563046192,12
HAL,2021-02-12,2021-03-24,513.8,500.98,389,-4986.979999999975,-2.4951342934994036,40
BATAINDIA,2021-08-30,2021-09-20,1761.15,1757.0,113,-468.9500000000103,-0.23564148425745057,21
SYNGENE,2023-08-07,2023-08-11,836.2,795.2,239,-9799.0,-4.903133221717292,4
ULTRACEMCO,2020-12-30,2021-01-25,5374.0,5371.95,37,-75.85000000000673,-0.03814663193152553,26
WIPRO,2020-12-23,2021-02-18,384.95,433.1,519,24989.850000000017,12.508117937394475,57
CANFINHOME,2021-02-12,2021-02-23,517.95,488.8,386,-11251.900000000012,-5.627956366444644,11
ZYDUSLIFE,2020-11-27,2021-01-22,448.25,461.9,446,6087.89999999999,3.045175683212488,56
VEDL,2022-03-21,2022-05-04,399.05,396.35,501,-1352.6999999999944,-0.6766069414860265,44
CUMMINSIND,2022-03-09,2022-04-25,998.0,999.55,200,309.9999999999909,0.1553106212424804,47
CUMMINSIND,2022-11-30,2022-12-23,1419.0,1389.9,140,-4073.9999999999873,-2.0507399577166954,23
BALKRISIND,2020-09-28,2020-10-13,1443.0,1384.5,138,-8073.0,-4.054054054054054,15
BALKRISIND,2020-11-27,2020-12-15,1664.0,1626.0,120,-4560.0,-2.283653846153846,18
SUNTV,2023-10-12,2023-10-26,640.0,622.35,312,-5506.799999999993,-2.7578124999999964,14
SUNTV,2023-11-13,2023-12-05,672.5,664.0,297,-2524.5,-1.2639405204460967,22
AARTIIND,2020-08-19,2020-08-31,533.5,524.5,374,-3366.0,-1.6869728209934396,12
AARTIIND,2020-11-27,2021-01-21,581.2,589.4,344,2820.7999999999765,1.4108740536820252,55
AARTIIND,2021-04-16,2021-06-14,712.0,919.2,280,58016.000000000015,29.101123595505623,57
LALPATHLAB,2020-01-23,2020-02-06,1638.5,1614.0,122,-2989.0,-1.4952700640830028,14
TECHM,2021-02-18,2021-02-22,1013.65,947.4,197,-13051.25,-6.53578651408277,4
GLENMARK,2020-07-30,2020-09-22,442.0,459.5,452,7910.0,3.959276018099547,54
GLENMARK,2023-07-07,2023-09-04,689.8,763.2,289,21212.600000000028,10.64076543925777,57
JUBLFOOD,2018-07-20,2018-07-25,294.63,277.2,678,-11817.540000000005,-5.9158945117605155,5
PNB,2023-06-21,2023-06-22,52.9,51.15,3780,-6615.0,-3.308128544423441,1
PNB,2023-09-01,2023-10-23,65.5,69.45,3053,12059.35000000001,6.030534351145043,52
COLPAL,2021-01-08,2021-01-15,1615.55,1562.85,123,-6482.100000000006,-3.262046980904339,7
COLPAL,2023-10-16,2023-10-26,2073.95,2030.0,96,-4219.1999999999825,-2.119144627401809,10
