stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
BHEL,2022-04-01,2022-05-09,53.75,49.4,38,-8.093023255813957
BHEL,2022-08-18,2022-08-22,56.3,52.35,4,-7.015985790408519
BHEL,2022-08-25,2022-11-23,57.35,74.9,90,30.601569311246735
BHEL,2023-06-05,2023-08-30,85.65,117.85,86,37.594862813776984
BHEL,2023-08-22,2023-11-17,110.8,141.95,87,28.11371841155234
BHEL,2023-08-29,2023-11-24,114.95,151.8,87,32.05741626794259
BHEL,2023-09-08,2023-09-12,144.95,125.7,4,-13.280441531562598
BHEL,2023-11-13,2024-01-12,136.2,196.3,60,44.12628487518357
BHEL,2023-11-16,2024-01-12,138.4,196.3,57,41.835260115606935
BHEL,2023-12-28,2024-01-12,192.0,196.3,15,2.2395833333333393
HAL,2022-04-01,2022-06-17,760.65,966.5,77,27.06238085847631
HAL,2023-07-11,2023-08-02,1961.5,1871.0,22,-4.613815957175631
HAL,2023-07-28,2023-08-02,1963.5,1871.0,5,-4.710975299210593
HAL,2023-11-07,2024-01-12,2019.0,3002.0,66,48.687469044081226
HAL,2023-11-10,2024-01-12,2056.0,3002.0,63,46.01167315175097
HAL,2023-11-16,2024-01-12,2118.0,3002.0,57,41.73748819641171
HAL,2023-11-24,2024-01-12,2249.7,3002.0,49,33.440014224118784
RECLTD,2023-05-30,2023-08-21,140.45,238.85,83,70.06051975792099
RECLTD,2023-07-27,2023-10-19,188.85,294.75,84,56.07625099285147
HINDCOPPER,2022-01-04,2022-01-24,133.0,120.3,20,-9.54887218045113
HINDCOPPER,2023-05-02,2023-06-22,104.1,115.2,51,10.662824207492804
HINDCOPPER,2023-07-25,2023-09-15,124.3,161.4,52,29.84714400643605
HINDCOPPER,2023-11-12,2024-01-05,150.0,284.5,54,89.66666666666666
NATIONALUM,2022-02-02,2022-02-21,115.8,111.25,19,-3.929188255613124
NATIONALUM,2022-02-09,2022-02-14,125.0,119.0,5,-4.8
NATIONALUM,2022-12-01,2022-12-09,77.85,77.0,8,-1.091843288375073
NATIONALUM,2022-12-30,2023-01-25,80.55,82.85,26,2.8553693358162597
NATIONALUM,2023-12-04,2023-12-29,96.95,132.3,25,36.46209386281589
NATIONALUM,2023-12-06,2024-01-02,99.45,139.4,27,40.17094017094017
NATIONALUM,2023-12-14,2024-01-10,104.9,130.45,27,24.356530028598648
IOC,2023-07-03,2023-08-30,95.75,90.8,58,-5.169712793733685
IOC,2023-11-01,2024-01-12,92.65,135.35,72,46.08742579600646
IOC,2023-11-06,2024-01-12,99.0,135.35,67,36.71717171717171
MCX,2023-09-25,2023-12-07,1903.3,3321.0,73,74.48641832606526
NMDC,2022-03-28,2022-05-06,161.5,152.6,39,-5.510835913312697
NMDC,2022-04-06,2022-04-25,172.15,159.45,19,-7.377287249491732
NMDC,2022-10-06,2022-10-13,132.8,128.85,7,-2.9743975903614586
NMDC,2023-08-14,2023-11-07,118.85,163.3,85,37.400084139671876
NMDC,2023-08-22,2023-11-13,121.0,175.3,83,44.87603305785125
TRENT,2022-03-17,2022-05-06,1265.4,1147.8,50,-9.293504030346146
TRENT,2022-07-06,2022-09-22,1170.0,1492.0,78,27.521367521367523
TRENT,2022-07-08,2022-09-26,1203.95,1419.4,80,17.89526143112256
TRENT,2023-02-09,2023-05-03,1342.0,1391.0,83,3.651266766020864
TRENT,2023-04-20,2023-07-06,1394.0,1750.0,77,25.538020086083215
ITC,2023-01-24,2023-04-26,338.9,412.1,92,21.599291826497506
ITC,2023-01-27,2023-04-28,345.3,425.45,91,23.211699971039668
ITC,2023-01-31,2023-05-03,352.6,426.85,92,21.05785592739648
ITC,2023-07-03,2023-08-11,465.35,448.0,39,-3.728376490813371
ITC,2023-07-05,2023-07-25,475.05,461.4,20,-2.8733817492895555
ITC,2023-12-01,2024-01-12,449.15,467.4,42,4.063230546588
DLF,2022-09-12,2022-09-16,408.0,387.0,4,-5.147058823529411
DLF,2023-04-06,2023-07-05,382.9,503.0,90,31.36589187777488
DLF,2023-10-06,2023-10-26,548.3,522.8,20,-4.650738646726245
DLF,2023-11-01,2024-01-12,574.7,800.35,72,39.26396380720375
BAJAJ-AUTO,2022-04-26,2022-05-02,3904.95,3622.0,6,-7.245931445985219
BAJAJ-AUTO,2022-08-16,2022-08-29,4089.05,4035.0,13,-1.3218229173035345
BAJAJ-AUTO,2022-11-01,2022-11-18,3736.0,3627.85,17,-2.894807280513921
BAJAJ-AUTO,2022-11-03,2022-11-09,3778.0,3722.0,6,-1.4822657490735838
BAJAJ-AUTO,2023-04-11,2023-07-06,4171.0,4911.0,86,17.74154878925917
BAJAJ-AUTO,2023-07-05,2023-08-08,4899.3,4649.9,34,-5.090523135958209
BAJAJ-AUTO,2023-11-17,2024-01-12,5620.25,7324.0,56,30.31448778968907
BAJAJ-AUTO,2023-11-21,2024-01-12,5679.3,7324.0,52,28.95955487472047
BANKBARODA,2022-03-28,2022-05-05,111.7,105.6,38,-5.4610564010743134
BANKBARODA,2022-07-07,2022-09-12,105.2,138.9,67,32.03422053231939
BANKBARODA,2022-07-11,2022-07-15,109.3,103.75,4,-5.07776761207685
BANKBARODA,2022-07-19,2022-09-22,112.5,138.55,65,23.155555555555566
BANKBARODA,2023-04-17,2023-06-19,176.25,194.15,63,10.15602836879433
BANKBARODA,2023-06-19,2023-08-16,194.15,186.7,58,-3.837239248004129
BANKBARODA,2023-07-03,2023-08-14,199.3,188.4,42,-5.469141996989466
BANKBARODA,2023-12-04,2024-01-12,209.0,229.95,39,10.023923444976072
OBEROIRLTY,2022-01-03,2022-02-24,892.0,854.0,52,-4.260089686098654
OBEROIRLTY,2022-01-05,2022-02-14,933.0,862.0,40,-7.609860664523044
OBEROIRLTY,2022-01-10,2022-01-24,941.2,888.0,14,-5.652358691032728
OBEROIRLTY,2022-01-12,2022-01-24,970.8,888.0,12,-8.529048207663777
OBEROIRLTY,2022-07-18,2022-09-22,856.0,1004.5,66,17.348130841121495
OBEROIRLTY,2022-11-30,2022-12-09,924.9,901.2,9,-2.5624391826143293
OBEROIRLTY,2023-03-03,2023-03-13,891.0,862.5,10,-3.1986531986531985
OBEROIRLTY,2023-03-08,2023-03-13,905.5,862.5,5,-4.748757592490336
OBEROIRLTY,2023-04-06,2023-06-13,896.0,985.15,68,9.949776785714283
OBEROIRLTY,2023-07-06,2023-07-10,1041.0,1014.7,4,-2.5264169068203604
OBEROIRLTY,2023-11-01,2024-01-05,1162.05,1517.7,65,30.605395637020795
OBEROIRLTY,2023-11-09,2024-01-12,1255.05,1541.15,64,22.795904545635644
OBEROIRLTY,2023-11-20,2024-01-12,1353.0,1541.15,53,13.906134515890619
HINDALCO,2021-12-31,2022-03-28,474.75,629.15,87,32.52238020010532
HINDALCO,2022-01-13,2022-01-18,506.5,495.15,5,-2.2408687068114554
HINDALCO,2022-11-01,2023-01-23,414.5,493.55,83,19.071170084439085
HINDALCO,2022-11-14,2022-11-21,454.55,430.1,7,-5.378946210537892
HINDALCO,2022-12-05,2022-12-07,482.0,464.75,2,-3.5788381742738586
HINDALCO,2023-09-01,2023-10-23,472.7,457.25,52,-3.2684577956420537
HINDALCO,2023-09-14,2023-09-18,499.15,485.7,4,-2.6945807873384733
HINDALCO,2023-11-15,2024-01-12,505.65,582.0,58,15.099377039454174
AUROPHARMA,2022-07-13,2022-07-26,559.95,526.0,13,-6.063041342977058
AUROPHARMA,2023-02-10,2023-05-04,468.45,612.5,83,30.750346888675423
AUROPHARMA,2023-09-05,2023-11-22,858.65,1054.45,78,22.80323764048216
AUROPHARMA,2023-12-21,2024-01-12,1091.0,1095.0,22,0.36663611365719523
SYNGENE,2023-03-31,2023-06-15,592.2,749.0,76,26.47754137115838
SYNGENE,2023-05-26,2023-08-07,720.0,836.2,73,16.138888888888893
SYNGENE,2023-06-28,2023-09-08,756.85,837.0,72,10.589945167470434
SYNGENE,2023-07-27,2023-08-25,810.0,765.0,29,-5.555555555555555
PERSISTENT,2021-12-13,2022-01-18,4438.8,4338.9,36,-2.2506082725060947
PERSISTENT,2021-12-17,2021-12-20,4660.0,4437.0,3,-4.785407725321889
PERSISTENT,2023-08-16,2023-08-18,4972.45,4865.0,2,-2.1609065953403217
PERSISTENT,2023-08-21,2023-11-16,5009.85,6380.0,87,27.34912222920845
PERSISTENT,2023-08-24,2023-11-21,5112.85,6440.0,89,25.95714718796756
PERSISTENT,2023-12-22,2024-01-12,7430.0,7648.95,21,2.9468371467025545
LT,2022-10-27,2023-01-20,1965.0,2248.4,85,14.422391857506367
LT,2022-11-25,2022-11-29,2063.0,2052.5,4,-0.5089675230247213
LT,2022-12-01,2022-12-23,2103.0,2063.0,22,-1.9020446980504042
LT,2022-12-07,2022-12-23,2125.0,2063.0,16,-2.9176470588235293
LT,2023-04-05,2023-07-04,2259.0,2462.75,90,9.019477644975654
LT,2023-04-28,2023-05-11,2360.0,2244.0,13,-4.915254237288136
LT,2023-08-23,2023-08-25,2718.1,2632.0,2,-3.1676538758691706
LT,2023-09-07,2023-12-06,2846.1,3387.0,90,19.004954147781177
LT,2023-11-30,2024-01-12,3119.8,3568.0,43,14.366305532405917
VOLTAS,2023-05-29,2023-06-06,826.4,802.9,8,-2.8436592449177156
VOLTAS,2023-08-01,2023-09-06,797.0,896.5,36,12.484316185696361
VOLTAS,2023-08-04,2023-09-11,818.5,907.0,38,10.812461820403177
VOLTAS,2023-12-07,2024-01-12,867.0,1055.9,36,21.787773933102663
INDUSINDBK,2022-04-01,2022-05-06,967.4,919.5,35,-4.9514161670456875
INDUSINDBK,2022-07-20,2022-09-20,878.0,1259.8,62,43.48519362186787
INDUSINDBK,2023-06-28,2023-08-28,1339.5,1409.5,61,5.225830533781261
INDUSINDBK,2023-07-05,2023-07-07,1399.9,1357.7,2,-3.0145010357882738
GLENMARK,2022-11-01,2023-01-03,413.45,434.7,63,5.139678316604184
GLENMARK,2023-07-07,2023-07-10,689.8,663.5,3,-3.812699333140034
GLENMARK,2023-07-14,2023-09-15,702.0,858.4,63,22.279202279202277
GLENMARK,2023-07-18,2023-09-20,726.9,859.8,64,18.283120099050763
GLENMARK,2024-01-02,2024-01-12,891.0,868.6,10,-2.514029180695845
ALKEM,2023-11-02,2024-01-04,3806.0,5288.0,63,38.938518129269575
TATACOMM,2022-12-13,2022-12-21,1367.6,1275.0,8,-6.770985668324066
TATACOMM,2023-01-10,2023-01-24,1359.4,1319.0,14,-2.971899367367963
TATACOMM,2023-05-31,2023-08-24,1297.45,1825.0,85,40.660526417202966
TATACOMM,2023-06-13,2023-09-06,1594.0,1876.0,85,17.691342534504393
TATACOMM,2023-08-22,2023-10-23,1786.1,1607.0,62,-10.02743407423996
COFORGE,2021-12-24,2022-01-18,5638.5,5420.0,25,-3.8751440986077856
COFORGE,2023-01-20,2023-02-13,4096.05,4011.25,24,-2.0702872279391165
COFORGE,2023-05-16,2023-08-09,4209.0,5090.0,85,20.93133760988358
COFORGE,2023-05-19,2023-08-14,4278.0,5275.0,87,23.305282842449742
COLPAL,2022-04-22,2022-06-01,1601.0,1623.0,40,1.3741411617738912
COLPAL,2022-04-27,2022-05-05,1632.0,1569.45,8,-3.8327205882352917
COLPAL,2023-04-05,2023-05-17,1540.0,1665.0,42,8.116883116883116
COLPAL,2023-06-27,2023-08-04,1693.5,1990.0,38,17.508119279598464
COLPAL,2023-09-26,2023-09-28,2081.4,1988.0,2,-4.487364274046319
COLPAL,2023-11-17,2023-12-28,2166.7,2533.4,41,16.92435500992294
ASTRAL,2022-04-20,2022-05-02,1620.75,1552.43,12,-4.2153324078358745
