stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct,trade_profit
BHARTIARTL,2019-11-05,2020-01-10,385.0,457.9,46,18.93506493506493,18935.06493506493
BHARTIARTL,2019-12-19,2020-01-10,450.55,457.9,15,1.6313394739762437,1631.3394739762437
BHARTIARTL,2020-01-08,2020-01-10,458.9,457.9,2,-0.2179123992155154,-217.9123992155154
BHARTIARTL,2020-03-13,2020-05-29,489.8,550.0,49,12.290730910575743,12290.730910575743
BHARTIARTL,2020-06-29,2020-08-13,567.0,536.5,33,-5.379188712522046,-5379.1887125220455
BHARTIARTL,2020-08-24,2020-08-31,531.25,513.4,5,-3.360000000000004,-3360.000000000004
BHARTIARTL,2022-01-25,2022-02-24,709.4,670.0,21,-5.55398928672117,-5553.98928672117
BHARTIARTL,2022-03-07,2022-07-11,677.2,659.6,86,-2.5989367985824012,-2598.936798582401
BHARTIARTL,2022-03-14,2022-07-11,699.4,659.6,81,-5.690591935945089,-5690.591935945089
BHARTIARTL,2022-04-04,2022-07-11,766.9,659.6,67,-13.991393923588468,-13991.393923588468
BHARTIARTL,2022-04-06,2022-07-11,773.8,659.6,65,-14.75833548720599,-14758.33548720599
BHARTIARTL,2022-05-09,2022-07-11,712.0,659.6,45,-7.359550561797749,-7359.55056179775
BHARTIARTL,2022-06-21,2022-07-11,652.75,659.6,14,1.0494063577173531,1049.406357717353
BHARTIARTL,2022-06-29,2022-07-11,686.0,659.6,8,-3.848396501457722,-3848.3965014577225
BHARTIARTL,2022-08-23,2022-09-07,739.5,752.0,10,1.6903313049357673,1690.3313049357673
BHARTIARTL,2022-10-20,2022-11-14,791.0,822.55,15,3.988621997471549,3988.621997471549
BHARTIARTL,2022-11-30,2023-01-11,850.8,765.4,30,-10.037611659614479,-10037.611659614478
BHARTIARTL,2022-12-09,2023-01-11,833.95,765.4,23,-8.2199172612267,-8219.9172612267
BHARTIARTL,2022-12-13,2023-01-11,838.15,765.4,21,-8.679830579251924,-8679.830579251924
BHARTIARTL,2022-12-19,2023-01-11,839.5,765.4,17,-8.826682549136393,-8826.682549136392
BHARTIARTL,2023-02-02,2023-02-08,776.5,775.0,4,-0.19317450096587252,-193.1745009658725
BHARTIARTL,2023-04-27,2023-06-14,785.9,826.6,33,5.178775925690298,5178.775925690297
BHARTIARTL,2023-05-25,2023-06-14,824.0,826.6,14,0.315533980582527,315.533980582527
BHARTIARTL,2023-06-07,2023-06-14,842.25,826.6,5,-1.8581181359453816,-1858.1181359453817
BHARTIARTL,2023-07-20,2023-10-25,884.0,924.5,65,4.581447963800905,4581.447963800904
TATASTEEL,2021-05-06,2021-09-17,110.25,138.28,92,25.42403628117914,25424.036281179142
TATASTEEL,2021-06-21,2021-09-17,110.6,138.28,61,25.027124773960225,25027.124773960226
TATASTEEL,2021-08-05,2021-09-17,144.9,138.28,29,-4.568668046928919,-4568.6680469289195
TATASTEEL,2021-08-13,2021-09-17,146.89,138.28,23,-5.861529035332552,-5861.529035332552
TATASTEEL,2021-10-29,2021-11-10,131.76,129.8,7,-1.4875531268973738,-1487.5531268973739
TATASTEEL,2022-01-05,2022-05-23,117.7,102.6,92,-12.829226847918443,-12829.226847918442
TATASTEEL,2022-04-27,2022-05-23,124.8,102.6,17,-17.78846153846154,-17788.46153846154
LUPIN,2019-10-31,2019-11-07,745.0,738.1,5,-0.9261744966442923,-926.1744966442923
LUPIN,2020-01-24,2020-02-07,739.0,705.8,11,-4.492557510148856,-4492.557510148857
LUPIN,2021-04-19,2021-07-27,1072.0,1115.0,68,4.0111940298507465,4011.1940298507466
LUPIN,2021-04-30,2021-07-27,1068.2,1115.0,60,4.381202022093237,4381.202022093236
LUPIN,2021-07-16,2021-07-27,1178.0,1115.0,6,-5.34804753820034,-5348.04753820034
LUPIN,2021-10-01,2021-10-28,966.95,879.0,18,-9.095609907440927,-9095.609907440927
LUPIN,2022-03-11,2022-05-11,746.0,717.85,39,-3.773458445040211,-3773.4584450402112
LUPIN,2022-04-01,2022-05-11,763.45,717.85,25,-5.9728862400943115,-5972.886240094312
LUPIN,2022-06-14,2022-10-20,614.95,677.65,88,10.195950890316274,10195.950890316275
LUPIN,2022-06-20,2022-10-20,607.4,677.65,84,11.565689825485677,11565.689825485677
LUPIN,2022-07-11,2022-10-20,643.0,677.65,69,5.388802488335922,5388.802488335922
LUPIN,2022-07-27,2022-10-20,641.0,677.65,57,5.717628705148202,5717.628705148202
LUPIN,2022-08-04,2022-10-20,660.0,677.65,51,2.6742424242424208,2674.242424242421
LUPIN,2022-09-28,2022-10-20,668.0,677.65,15,1.4446107784431104,1444.6107784431103
LUPIN,2022-11-03,2023-02-10,712.85,735.7,69,3.2054429403100264,3205.442940310026
LUPIN,2023-05-25,2023-10-18,780.0,1189.4,100,52.4871794871795,52487.17948717951
LUPIN,2023-06-28,2023-10-18,889.1,1189.4,76,33.77572826453718,33775.72826453718
BOSCHLTD,2019-12-27,2020-05-29,15576.05,9772.0,103,-37.262656450126954,-37262.65645012695
