stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
GRANULES,2017-07-27,2017-08-08,137.45,126.05,1455.0,-16586.99999999997,-0.08293925063659507
LAURUSLABS,2017-07-20,2017-08-09,119.2,110.42,1677.0,-14724.059999999998,-0.07365771812080538
APOLLOHOSP,2017-07-20,2017-08-16,1235.0,1158.8,161.0,-12268.200000000012,-0.06170040485829963
PAGEIND,2017-08-08,2017-08-22,16225.0,17200.0,11.0,10725.0,0.060092449922958396
IOC,2017-07-27,2017-08-29,122.7,145.67,1629.0,37418.129999999976,0.18720456397718
LTTS,2017-07-27,2017-09-01,756.0,773.5,239.0,4182.5,0.023148148148148147
CUB,2017-08-16,2017-09-11,143.68,148.18,1313.0,5908.5,0.0313195991091314
INDIGO,2017-08-22,2017-09-18,1229.3,1167.7,153.0,-9424.799999999988,-0.05010981859594884
LTIM,2017-09-18,2017-09-21,756.0,781.0,264.0,6600.0,0.03306878306878307
MCX,2017-09-21,2017-09-27,1088.4,1022.0,183.0,-12151.200000000012,-0.061006982726938705
ABB,2017-09-11,2017-10-04,1366.0,1380.1,146.0,2058.5999999999767,0.01032210834553434
HCLTECH,2017-08-29,2017-10-05,425.58,447.0,469.0,10045.98000000001,0.050331312561680566
NIFTY50,2017-09-27,2017-10-12,9738.3,10098.0,20.0,7194.0,0.03693663165028811
ABBOTINDIA,2017-09-01,2017-10-16,4175.05,4300.0,47.0,5872.649999999994,0.029927785295984433
ULTRACEMCO,2017-08-09,2017-10-17,3995.0,4089.4,47.0,4436.8000000000175,0.023629536921151464
PNB,2017-10-17,2017-10-24,134.45,137.7,1487.0,4832.75,0.024172554853105245
MFSL,2017-10-05,2017-10-27,587.55,555.1,340.0,-11032.99999999997,-0.05522934218364383
RECLTD,2017-10-16,2017-10-27,114.45,130.31,1747.0,27707.420000000013,0.1385757972913936
AXISBANK,2017-10-27,2017-10-31,487.25,525.0,410.0,15477.5,0.07747562852744998
INFY,2017-10-27,2017-10-31,473.48,461.0,422.0,-5266.559999999998,-0.026358029906226276
APOLLOTYRE,2017-10-31,2017-11-07,246.3,233.55,812.0,-10353.0,-0.05176613885505481
PIDILITIND,2017-10-31,2017-11-09,781.05,812.0,256.0,7923.200000000012,0.03962614429293905
INDIAVIX,2017-10-12,2017-11-14,11.16,14.06,17921.0,51970.899999999994,0.25985663082437277
MARICO,2017-10-04,2017-11-15,312.8,291.5,639.0,-13610.700000000012,-0.06809462915601026
MANAPPURAM,2017-11-15,2017-11-16,95.8,103.8,2087.0,16696.0,0.08350730688935282
SHREECEM,2017-11-09,2017-11-21,18148.0,17002.1,11.0,-12604.900000000023,-0.0631419440158696
CHAMBLFERT,2017-11-14,2017-11-22,140.0,145.75,1428.0,8211.0,0.04107142857142857
COLPAL,2017-10-24,2017-11-24,1060.0,1056.05,188.0,-742.6000000000058,-0.0037264150943396657
INDUSINDBK,2017-11-21,2017-11-24,1650.9,1670.05,121.0,2317.149999999965,0.0115997334787085
RECLTD,2017-11-22,2017-12-01,121.5,115.35,1646.0,-10122.900000000023,-0.050617283950617334
GRASIM,2017-12-01,2017-12-04,1156.2,1130.51,172.0,-4418.679999999993,-0.022219339214668787
HCLTECH,2017-11-24,2017-12-06,430.0,428.02,465.0,-920.7000000000116,-0.00460465116279074
SIEMENS,2017-11-24,2017-12-06,1188.6,1126.0,168.0,-10516.799999999988,-0.05266700319703846
HEROMOTOCO,2017-11-07,2017-12-12,3678.05,3437.0,54.0,-13016.700000000012,-0.06553744511357926
CANBK,2017-12-12,2017-12-13,367.95,355.0,543.0,-7031.850000000006,-0.035194999320559826
AMBUJACEM,2017-12-06,2017-12-19,263.0,271.75,760.0,6650.0,0.03326996197718631
BAJAJFINSV,2017-12-06,2017-12-20,496.7,532.28,402.0,14303.160000000003,0.07163277632373663
BAJFINANCE,2017-12-20,2017-12-21,1770.0,1755.5,112.0,-1624.0,-0.008192090395480226
MCX,2017-12-13,2017-12-28,990.0,938.55,202.0,-10392.900000000023,-0.05196969696969701
