stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
ADANIENT,2017-08-08,2017-08-09,137.7,122.25,1320.0,-20393.99999999997,-0.11220043572984742
APOLLOHOSP,2017-07-20,2017-08-16,1235.0,1158.8,161.0,-12268.200000000012,-0.06170040485829963
INFY,2017-08-07,2017-08-17,483.25,510.52,413.0,11262.50999999998,0.05643041903776509
DIVISLAB,2017-08-17,2017-08-28,645.5,694.0,309.0,14986.5,0.07513555383423702
ITC,2017-08-03,2017-09-01,280.9,283.9,711.0,2133.0,0.01067995728017088
LTIM,2017-08-16,2017-09-07,743.0,773.0,249.0,7470.0,0.040376850605652756
M&M,2017-08-28,2017-09-08,686.38,648.0,291.0,-11168.579999999987,-0.055916547684955846
LT,2017-08-09,2017-09-11,1153.0,1216.0,141.0,8883.0,0.05464006938421509
COALINDIA,2017-08-08,2017-09-18,244.5,264.25,817.0,16135.75,0.08077709611451943
ULTRACEMCO,2017-09-04,2017-09-27,4015.0,3804.0,49.0,-10339.0,-0.052552926525529266
APOLLOHOSP,2017-09-18,2017-09-27,1060.0,1005.9,188.0,-10170.800000000017,-0.051037735849056624
SBIN,2017-09-11,2017-09-27,270.6,250.4,680.0,-13736.00000000003,-0.07464892830746495
BHARTIARTL,2017-09-11,2017-09-28,369.48,347.94,541.0,-11653.140000000014,-0.058298148749594075
BPCL,2017-09-27,2017-09-29,466.1,475.0,410.0,3649.0,0.01909461488950864
NTPC,2017-09-27,2017-10-05,137.29,142.12,1456.0,7032.4800000000105,0.03518100371476446
TCS,2017-10-05,2017-10-12,1215.0,1272.22,164.0,9384.080000000016,0.04709465020576134
ULTRACEMCO,2017-09-28,2017-10-17,3862.85,4089.4,51.0,11554.049999999988,0.05864840726406673
WIPRO,2017-09-28,2017-10-18,214.8,221.06,767.0,4801.419999999984,0.029143389199255076
POWERGRID,2017-10-18,2017-10-24,120.42,121.55,1620.0,1830.6000000000058,0.00938382328516854
LT,2017-09-29,2017-10-25,1145.0,1203.5,167.0,9769.5,0.05109170305676856
HDFCBANK,2017-10-25,2017-10-26,897.58,895.85,219.0,-378.87000000002445,-0.0019274047995722031
UPL,2017-10-12,2017-10-27,539.67,554.0,370.0,5302.100000000006,0.02655326403172317
INFY,2017-10-27,2017-10-31,473.48,461.0,422.0,-5266.559999999998,-0.026358029906226276
POWERGRID,2017-10-26,2017-11-02,119.55,121.8,1661.0,3737.25,0.018820577164366373
INFY,2017-11-02,2017-11-03,461.55,463.4,433.0,801.0499999999884,0.0040082331275050715
INDUSINDBK,2017-10-25,2017-11-03,1601.1,1672.45,124.0,8847.400000000023,0.0445631128599089
M&M,2017-10-17,2017-11-10,686.67,697.5,291.0,3151.529999999999,0.015771768098213176
ITC,2017-09-07,2017-11-14,271.0,256.25,738.0,-10885.5,-0.0544280442804428
INFY,2017-11-14,2017-11-15,474.55,475.38,421.0,349.429999999993,0.00174902539247705
INDUSINDBK,2017-11-15,2017-11-24,1601.9,1670.05,124.0,8450.599999999977,0.04254322991447647
EICHERMOT,2017-11-06,2017-12-01,3100.0,2940.0,64.0,-10240.0,-0.05161290322580645
DRREDDY,2017-11-13,2017-12-05,2337.0,2208.5,85.0,-10922.5,-0.05498502353444587
SUNPHARMA,2017-12-05,2017-12-06,522.0,510.55,371.0,-4247.9499999999825,-0.02193486590038312
HCLTECH,2017-11-06,2017-12-06,422.0,428.02,473.0,2847.459999999992,0.014265402843601853
TATAMOTORS,2017-12-01,2017-12-06,399.0,395.75,501.0,-1628.25,-0.008145363408521303
HDFCBANK,2017-12-06,2017-12-07,899.65,905.45,222.0,1287.600000000035,0.006446951592285965
ITC,2017-12-06,2017-12-08,251.5,262.6,795.0,8824.50000000003,0.0441351888667993
HEROMOTOCO,2017-11-27,2017-12-12,3658.0,3437.0,54.0,-11934.0,-0.06041552761071624
CIPLA,2017-12-12,2017-12-13,591.45,578.9,330.0,-4141.500000000029,-0.021219037957562036
ADANIPORTS,2017-12-08,2017-12-13,392.55,395.0,509.0,1247.0499999999884,0.006241243153738348
BAJAJ-AUTO,2017-12-13,2017-12-14,3148.0,3170.0,60.0,1320.0,0.00698856416772554
GRASIM,2017-12-13,2017-12-14,1113.42,1138.52,179.0,4492.899999999965,0.022543155323238227
INDUSINDBK,2017-12-14,2017-12-15,1650.0,1676.0,121.0,3146.0,0.01575757575757576
ITC,2017-12-14,2017-12-18,264.0,263.35,736.0,-478.3999999999942,-0.002462121212121126
BAJFINANCE,2017-12-15,2017-12-18,1725.0,1754.9,115.0,3438.5,0.017333333333333385
HINDALCO,2017-12-18,2017-12-19,250.8,254.3,797.0,2789.5,0.013955342902711323
BAJAJFINSV,2017-10-31,2017-12-20,504.98,532.28,395.0,10783.49999999997,0.05406154699195999
COALINDIA,2017-12-19,2017-12-21,268.35,267.6,745.0,-558.75,-0.002794857462269424
BAJFINANCE,2017-12-19,2017-12-21,1760.05,1755.5,113.0,-514.1499999999942,-0.002585153830857052
BRITANNIA,2017-12-21,2017-12-22,2362.62,2375.43,84.0,1076.0400000000081,0.005421946821748714
COALINDIA,2017-12-22,2017-12-26,265.9,263.3,752.0,-1955.1999999999825,-0.00977811207220747
DRREDDY,2017-12-22,2017-12-28,2335.0,2438.0,85.0,8755.0,0.04411134903640257
UPL,2017-12-07,2017-12-28,480.0,509.7,416.0,12355.199999999983,0.06187499999999998
ASIANPAINT,2017-12-21,2017-12-29,1135.05,1160.0,176.0,4391.200000000012,0.021981410510550237
APOLLOHOSP,2017-12-28,2017-12-29,1230.0,1205.0,162.0,-4050.0,-0.02032520325203252
ITC,2017-12-28,2017-12-29,261.85,263.25,763.0,1068.1999999999825,0.0053465724651517174
UPL,2017-12-29,2018-01-01,508.0,504.0,393.0,-1572.0,-0.007874015748031496
GRASIM,2017-12-29,2018-01-01,1160.54,1142.41,172.0,-3118.359999999986,-0.015622038016785187
ITC,2018-01-01,2018-01-02,261.8,260.7,763.0,-839.2999999999884,-0.004201680672268994
EICHERMOT,2017-12-26,2018-01-04,3013.23,2861.4,66.0,-10020.779999999999,-0.050387789846775694
UPL,2018-01-04,2018-01-05,521.7,515.93,383.0,-2209.9100000000326,-0.011059996166379328
ADANIPORTS,2018-01-02,2018-01-05,397.8,423.65,502.0,12976.699999999983,0.06498240321769724
