stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
FEDERALBNK,2017-08-08,2017-08-10,112.3,106.0,1780.0,-11214.0,-0.056099732858414936
SBIN,2017-09-08,2017-09-27,271.45,250.4,736.0,-15492.799999999988,-0.07754650948609314
PNB,2017-09-22,2017-09-29,137.6,129.5,1238.0,-10027.799999999988,-0.0588662790697674
ICICIBANK,2017-09-20,2017-10-05,289.95,272.0,689.0,-12367.549999999988,-0.06190722538368681
BANKBARODA,2017-08-31,2017-10-24,138.3,143.2,1446.0,7085.399999999965,0.03543022415039752
PNB,2017-10-06,2017-10-24,137.3,137.7,1456.0,582.3999999999651,0.0029133284777857044
ICICIBANK,2017-10-09,2017-10-25,271.55,305.35,500.0,16900.0,0.12447063155956549
FEDERALBNK,2017-09-04,2017-10-25,111.8,121.0,1788.0,16449.600000000006,0.0822898032200358
HDFCBANK,2017-10-25,2017-10-26,897.58,895.85,222.0,-384.0599999999977,-0.0019274047995722031
HDFCBANK,2017-10-27,2017-10-30,893.95,907.88,223.0,3106.389999999985,0.015582526986967894
AXISBANK,2017-10-26,2017-10-31,484.25,525.0,413.0,16829.75,0.08415074858027878
INDUSINDBK,2017-10-25,2017-11-03,1601.1,1672.45,124.0,8847.400000000023,0.0445631128599089
INDUSINDBK,2017-11-06,2017-11-07,1648.0,1659.15,121.0,1349.1500000000233,0.006765776699029181
KOTAKBANK,2017-11-10,2017-11-13,990.1,996.7,201.0,1326.6000000000058,0.006665993334006689
HDFCBANK,2017-11-14,2017-11-15,900.67,899.62,222.0,-233.09999999997672,-0.0011657987942309109
INDUSINDBK,2017-11-14,2017-11-24,1632.05,1670.05,122.0,4636.0,0.023283600379890322
INDUSINDBK,2017-12-01,2017-12-05,1653.05,1672.0,120.0,2274.0,0.011463658086567283
IDFCFIRSTB,2017-10-04,2017-12-06,56.05,53.15,3568.0,-10347.200000000012,-0.05173951828724351
HDFCBANK,2017-12-06,2017-12-07,899.65,905.45,222.0,1287.600000000035,0.006446951592285965
INDUSINDBK,2017-12-07,2017-12-08,1652.6,1673.0,121.0,2468.4000000000233,0.012344184920731026
FEDERALBNK,2017-11-10,2017-12-13,112.05,105.1,1784.0,-12398.799999999988,-0.06202588130298976
KOTAKBANK,2017-12-12,2017-12-13,1001.5,1015.0,199.0,2686.5,0.01347978032950574
INDUSINDBK,2017-12-12,2017-12-15,1650.0,1676.0,121.0,3146.0,0.01575757575757576
INDUSINDBK,2017-12-20,2017-12-26,1657.1,1665.05,120.0,954.0,0.004797537867358666
FEDERALBNK,2017-12-19,2018-01-05,109.9,111.75,1819.0,3365.149999999994,0.016833484986351177
INDUSINDBK,2017-12-27,2018-01-05,1650.0,1700.0,121.0,6050.0,0.030303030303030304
IDFCFIRSTB,2017-12-07,2018-01-08,53.5,63.1,3738.0,35884.80000000002,0.1794392523364486
HDFCBANK,2018-01-09,2018-01-10,931.35,930.22,214.0,-241.81999999997788,-0.001213292532345515
ICICIBANK,2018-01-11,2018-01-12,308.85,317.25,647.0,5434.799999999988,0.027197668771248105
KOTAKBANK,2018-01-10,2018-01-15,1002.0,1038.0,199.0,7164.0,0.03592814371257485
HDFCBANK,2018-01-12,2018-01-15,932.5,946.53,214.0,3002.4199999999837,0.015045576407506674
PNB,2017-12-14,2018-01-16,169.5,165.7,1179.0,-4480.200000000012,-0.022418879056047263
BANKBARODA,2018-01-08,2018-01-23,161.7,173.25,1236.0,14275.800000000017,0.07142857142857151
PNB,2018-01-18,2018-01-25,170.35,181.3,1174.0,12855.300000000017,0.06427942471382458
SBIN,2017-12-28,2018-01-25,308.3,312.0,636.0,2353.1999999999825,0.01200129743756078
BANKBARODA,2018-01-29,2018-02-01,162.15,152.25,1233.0,-12206.700000000012,-0.06105457909343204
PNB,2018-01-31,2018-02-02,170.85,161.15,1170.0,-11349.0,-0.05677494878548428
FEDERALBNK,2018-01-18,2018-02-02,102.0,92.9,1960.0,-17836.0,-0.08921568627450975
IDFCFIRSTB,2018-02-01,2018-02-02,56.05,52.4,3568.0,-13023.200000000012,-0.06512042818911684
PNB,2018-02-05,2018-02-07,165.65,155.95,1207.0,-11707.900000000023,-0.05855719891337167
HDFCBANK,2018-02-07,2018-02-08,934.25,941.0,214.0,1444.5,0.0072250468290072254
BANKBARODA,2018-02-05,2018-02-12,157.1,168.9,1273.0,15021.400000000023,0.07511139401655004
HDFCBANK,2018-02-09,2018-02-12,926.0,940.0,215.0,3010.0,0.01511879049676026
PNB,2018-02-12,2018-02-14,161.6,144.9,1237.0,-20657.899999999965,-0.10334158415841578
SBIN,2018-02-05,2018-02-14,299.25,275.5,668.0,-15865.0,-0.07936507936507936
AUBANK,2018-02-09,2018-02-16,296.02,291.0,675.0,-3388.5,-0.016958313627457543
BANKBARODA,2018-02-16,2018-02-19,153.4,143.8,1303.0,-12508.799999999988,-0.06258148631029983
