stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
GRANULES,2017-07-27,2017-08-08,137.45,126.05,1455.0,-16586.99999999997,-0.08293925063659507
LAURUSLABS,2017-07-20,2017-08-09,119.2,110.42,1677.0,-14724.059999999998,-0.07365771812080538
APOLLOHOSP,2017-07-20,2017-08-16,1235.0,1158.8,161.0,-12268.200000000012,-0.06170040485829963
DIVISLAB,2017-08-17,2017-08-28,645.5,694.0,309.0,14986.5,0.07513555383423702
LUPIN,2017-08-21,2017-09-14,920.25,1005.0,217.0,18390.75,0.09209453952730236
AUROPHARMA,2017-08-14,2017-09-14,708.0,767.0,282.0,16638.0,0.08333333333333333
TORNTPHARM,2017-08-29,2017-09-21,606.7,675.5,329.0,22635.199999999983,0.11340036261743852
ALKEM,2017-08-10,2017-09-25,1724.0,1838.85,116.0,13322.599999999977,0.06661832946635726
GRANULES,2017-09-22,2017-09-27,122.3,114.8,1635.0,-12262.5,-0.06132461161079313
APOLLOHOSP,2017-09-15,2017-09-28,1055.25,993.0,189.0,-11765.25,-0.058990760483297794
BIOCON,2017-09-28,2017-10-06,164.93,175.7,1212.0,13053.23999999999,0.06530043048566048
ABBOTINDIA,2017-08-21,2017-10-16,4225.0,4300.0,33.0,2475.0,0.01775147928994083
LALPATHLAB,2017-09-28,2017-10-24,785.0,739.0,254.0,-11684.0,-0.05859872611464968
ABBOTINDIA,2017-10-17,2017-10-26,4250.0,4315.05,47.0,3057.350000000006,0.01530588235294122
GRANULES,2017-10-26,2017-10-27,137.8,136.5,1451.0,-1886.3000000000175,-0.009433962264151025
ABBOTINDIA,2017-10-30,2017-11-01,4219.4,4350.0,47.0,6138.200000000012,0.0309522680949899
ZYDUSLIFE,2017-09-28,2017-11-02,466.2,504.0,429.0,16216.200000000012,0.08108108108108111
LAURUSLABS,2017-09-25,2017-11-06,105.15,110.34,1902.0,9871.379999999976,0.04935805991440796
GRANULES,2017-11-06,2017-11-07,138.8,135.15,1440.0,-5256.000000000029,-0.026296829971181594
APOLLOHOSP,2017-10-09,2017-11-08,1050.0,987.0,190.0,-11970.0,-0.06
GRANULES,2017-11-08,2017-11-09,135.2,131.8,1479.0,-5028.599999999977,-0.025147928994082674
LALPATHLAB,2017-10-31,2017-11-09,782.0,842.85,255.0,15516.75,0.0778132992327366
GRANULES,2017-11-13,2017-11-29,122.65,131.65,1630.0,14670.0,0.07337953526294333
GLENMARK,2017-11-08,2017-11-30,597.0,565.0,335.0,-10720.0,-0.05360134003350084
DRREDDY,2017-11-13,2017-12-05,2337.0,2208.5,85.0,-10922.5,-0.05498502353444587
SUNPHARMA,2017-12-05,2017-12-06,522.0,510.55,383.0,-4385.350000000006,-0.02193486590038312
AUROPHARMA,2017-11-30,2017-12-06,692.85,653.8,288.0,-11246.400000000023,-0.05636140578768863
TORNTPHARM,2017-11-08,2017-12-07,617.0,663.03,324.0,14913.720000000001,0.07460291734197727
LAURUSLABS,2017-11-10,2017-12-08,105.6,100.0,1893.0,-10600.799999999988,-0.053030303030302976
ZYDUSLIFE,2017-11-29,2017-12-08,438.95,416.95,455.0,-10010.0,-0.0501196035994988
CIPLA,2017-12-07,2017-12-08,594.0,605.05,336.0,3712.7999999999884,0.018602693602693527
SUNPHARMA,2017-12-08,2017-12-11,524.0,529.95,381.0,2266.9500000000116,0.011354961832061156
LUPIN,2017-12-07,2017-12-12,819.8,847.5,243.0,6731.100000000006,0.03378872895828257
CIPLA,2017-12-12,2017-12-13,591.45,578.9,338.0,-4241.900000000023,-0.021219037957562036
SUNPHARMA,2017-12-12,2017-12-14,520.85,514.1,383.0,-2585.25,-0.012959585293270615
CIPLA,2017-12-14,2017-12-15,592.0,575.2,337.0,-5661.599999999977,-0.0283783783783783
SUNPHARMA,2017-12-15,2017-12-18,518.2,529.3,385.0,4273.499999999942,0.02142030104206852
CIPLA,2017-12-18,2017-12-19,592.0,603.9,337.0,4010.2999999999884,0.020101351351351313
LAURUSLABS,2017-12-11,2017-12-21,103.0,112.98,1941.0,19371.180000000022,0.09689320388349519
