stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
GODREJPROP,2017-08-02,2017-08-24,502.0,521.1,398.0,7601.8000000000175,0.03804780876494029
OBEROIRLTY,2017-12-11,2017-12-20,454.8,480.0,439.0,11062.799999999988,0.055408970976253274
DLF,2018-02-01,2018-02-02,245.4,223.4,814.0,-17908.0,-0.08964955175224124
OBEROIRLTY,2018-02-06,2018-02-15,451.5,481.0,442.0,13039.0,0.06533776301218161
DLF,2018-02-21,2018-02-22,220.35,219.5,907.0,-770.9499999999825,-0.003857499432720646
GODREJPROP,2018-03-05,2018-03-06,764.95,754.0,261.0,-2857.9500000000116,-0.014314661088960122
DLF,2018-02-27,2018-03-07,222.4,215.85,899.0,-5888.450000000012,-0.029451438848920913
DLF,2018-03-08,2018-03-12,218.0,217.3,917.0,-641.8999999999942,-0.0032110091743118743
GODREJPROP,2018-03-13,2018-03-15,764.0,752.0,261.0,-3132.0,-0.015706806282722512
DLF,2018-03-13,2018-03-20,220.2,216.9,908.0,-2996.399999999965,-0.014986376021798288
GODREJPROP,2018-03-19,2018-03-21,738.0,737.0,271.0,-271.0,-0.0013550135501355014
DLF,2018-03-26,2018-03-27,209.55,207.5,954.0,-1955.7000000000116,-0.009782868050584639
DLF,2018-04-03,2018-04-04,203.1,198.0,984.0,-5018.399999999994,-0.02511078286558343
DLF,2018-04-05,2018-04-09,206.55,206.0,968.0,-532.4000000000233,-0.00266279351246677
DLF,2018-04-12,2018-04-17,209.5,216.15,954.0,6344.100000000006,0.031742243436754206
DLF,2018-04-20,2018-04-24,210.55,217.15,949.0,6263.399999999994,0.03134647352172878
DLF,2018-04-25,2018-04-26,218.2,218.25,916.0,45.80000000001746,0.00022914757103579912
DLF,2018-04-27,2018-05-07,221.75,215.85,901.0,-5315.899999999994,-0.026606538895152226
GODREJPROP,2018-03-22,2018-05-07,738.0,851.0,271.0,30623.0,0.15311653116531165
DLF,2018-05-08,2018-05-14,221.7,205.7,902.0,-14432.0,-0.07216959855660804
DLF,2018-05-15,2018-05-16,203.55,205.55,982.0,1964.0,0.009825595676737901
DLF,2018-05-17,2018-05-18,204.9,199.0,976.0,-5758.399999999994,-0.0287945339189849
GODREJPROP,2018-05-18,2018-05-21,781.0,747.55,256.0,-8563.200000000012,-0.0428297055057619
GODREJPROP,2018-05-22,2018-05-23,762.65,740.1,262.0,-5908.099999999977,-0.02956795384514516
DLF,2018-05-22,2018-05-24,197.65,197.1,1011.0,-556.0499999999884,-0.0027826966860612767
OBEROIRLTY,2018-05-22,2018-05-24,512.5,504.0,390.0,-3315.0,-0.016585365853658537
GODREJPROP,2018-05-24,2018-05-28,731.75,737.0,273.0,1433.25,0.00717458148274684
OBEROIRLTY,2018-05-28,2018-05-29,510.0,509.5,392.0,-196.0,-0.000980392156862745
DLF,2018-05-28,2018-05-30,206.75,208.6,967.0,1788.9499999999825,0.008948004836759343
GODREJPROP,2018-05-29,2018-05-30,737.5,741.6,271.0,1111.1000000000058,0.005559322033898336
OBEROIRLTY,2018-05-30,2018-05-31,510.0,506.9,392.0,-1215.2000000000116,-0.006078431372549064
DLF,2018-05-31,2018-06-01,210.45,206.3,950.0,-3942.5,-0.019719648372534936
OBEROIRLTY,2018-06-01,2018-06-04,507.0,507.0,394.0,0.0,0.0
DLF,2018-06-04,2018-06-05,198.95,200.2,1005.0,1256.25,0.0062829856747926615
DLF,2018-06-06,2018-06-08,199.25,206.85,1003.0,7622.799999999988,0.038143036386449156
OBEROIRLTY,2018-06-06,2018-06-08,508.85,512.0,393.0,1237.9499999999825,0.006190429399626564
OBEROIRLTY,2018-06-11,2018-06-12,506.7,511.0,394.0,1694.2000000000116,0.008486283797118634
DLF,2018-06-12,2018-06-14,204.75,205.8,976.0,1024.8000000000175,0.005128205128205184
OBEROIRLTY,2018-06-14,2018-06-15,506.3,504.2,395.0,-829.5,-0.004147738494963505
DLF,2018-06-15,2018-06-18,199.1,200.3,1004.0,1204.8000000000175,0.006027122049221583
GODREJPROP,2018-05-31,2018-06-19,730.9,740.0,273.0,2484.3000000000175,0.012450403611985255
OBEROIRLTY,2018-06-18,2018-06-19,510.4,505.0,391.0,-2111.399999999994,-0.010579937304075191
DLF,2018-06-19,2018-06-21,196.4,197.9,1018.0,1527.0,0.007637474541751527
GODREJPROP,2018-06-25,2018-06-26,736.9,740.75,271.0,1043.3500000000058,0.005224589496539589
DLF,2018-06-25,2018-07-02,196.65,183.95,1017.0,-12915.900000000023,-0.06458174421561158
GODREJPROP,2018-06-27,2018-07-16,724.3,670.75,276.0,-14779.799999999988,-0.07393345298909286
DLF,2018-07-03,2018-07-18,185.05,171.25,1080.0,-14904.0,-0.07457443934071878
GODREJPROP,2018-07-17,2018-07-20,693.0,657.35,288.0,-10267.199999999983,-0.05144300144300141
OBEROIRLTY,2018-06-26,2018-07-20,463.05,488.0,431.0,10753.449999999983,0.053881870208400795
GODREJPROP,2018-07-23,2018-07-24,657.0,682.0,304.0,7600.0,0.0380517503805175
GODREJPROP,2018-07-25,2018-07-26,675.1,682.1,296.0,2072.0,0.010368834246778254
OBEROIRLTY,2018-07-25,2018-07-26,465.9,480.0,429.0,6048.900000000023,0.030264005151320075
DLF,2018-07-25,2018-07-31,182.8,195.75,1094.0,14167.299999999988,0.07084245076586426
OBEROIRLTY,2018-07-30,2018-07-31,490.0,492.3,408.0,938.3999999999942,0.0046938775510204315
GODREJPROP,2018-07-27,2018-08-01,688.0,742.3,290.0,15747.0,0.0789244186046511
OBEROIRLTY,2018-08-01,2018-08-02,487.95,480.2,409.0,-3169.75,-0.015882774874474846
GODREJPROP,2018-08-02,2018-08-03,732.5,733.0,273.0,136.5,0.0006825938566552901
OBEROIRLTY,2018-08-03,2018-08-06,485.0,480.3,412.0,-1936.3999999999942,-0.009690721649484512
DLF,2018-08-01,2018-08-09,192.8,200.55,1037.0,8036.75,0.04019709543568464
DLF,2018-08-10,2018-08-13,196.4,194.6,1018.0,-1832.4000000000233,-0.00916496945010189
OBEROIRLTY,2018-08-10,2018-08-13,485.0,482.0,412.0,-1236.0,-0.006185567010309278
DLF,2018-08-16,2018-08-17,207.3,210.45,964.0,3036.5999999999767,0.015195369030390628
OBEROIRLTY,2018-08-16,2018-08-20,467.45,481.0,427.0,5785.850000000006,0.028987057439298344
DLF,2018-08-21,2018-08-23,208.2,212.35,960.0,3984.0,0.01993275696445728
GODREJPROP,2018-08-06,2018-08-31,716.7,685.0,279.0,-8844.300000000017,-0.044230500906934624
DLF,2018-08-29,2018-09-03,218.0,210.6,917.0,-6785.8000000000175,-0.03394495412844039
GODREJPROP,2018-09-03,2018-09-05,695.45,676.2,287.0,-5524.75,-0.027679919476597883
DLF,2018-09-05,2018-09-07,203.25,208.6,984.0,5264.399999999994,0.0263222632226322
GODREJPROP,2018-09-06,2018-09-07,684.9,682.2,292.0,-788.3999999999651,-0.0039421813403415565
DLF,2018-09-10,2018-09-11,205.0,198.2,975.0,-6630.0,-0.03317073170731713
GODREJPROP,2018-09-11,2018-09-12,657.15,656.4,304.0,-228.0,-0.0011412919424788862
DLF,2018-09-12,2018-09-14,202.9,209.0,985.0,6008.5,0.03006407097092161
GODREJPROP,2018-09-14,2018-09-17,654.0,659.9,305.0,1799.5,0.009021406727828711
DLF,2018-09-18,2018-09-21,202.95,198.6,985.0,-4284.75,-0.021433850702143358
OBEROIRLTY,2018-08-23,2018-09-21,467.1,425.1,428.0,-17976.0,-0.0899165061014772
DLF,2018-09-24,2018-09-27,184.65,172.3,1083.0,-13375.049999999988,-0.06688329271594906
OBEROIRLTY,2018-10-01,2018-10-05,403.1,381.7,496.0,-10614.400000000023,-0.05308856363185322
GODREJPROP,2018-10-08,2018-10-09,493.45,467.0,405.0,-10712.25,-0.05360218867159791
GODREJPROP,2018-10-10,2018-10-16,501.85,542.0,398.0,15979.699999999983,0.08000398525455808
OBEROIRLTY,2018-10-24,2018-11-05,433.55,435.0,461.0,668.4499999999825,0.003344481605351144
OBEROIRLTY,2018-11-07,2018-11-09,440.0,415.95,454.0,-10918.700000000012,-0.054659090909090935
OBEROIRLTY,2018-11-13,2018-11-15,402.45,404.4,496.0,967.2000000000116,0.004845322400298145
DLF,2018-10-03,2018-11-26,152.0,178.1,1315.0,34321.5,0.17171052631578942
GODREJPROP,2018-11-21,2018-11-26,659.9,677.0,303.0,5181.3000000000175,0.025913017123806673
GODREJPROP,2018-11-27,2018-11-28,674.0,637.85,296.0,-10700.399999999994,-0.05363501483679522
DLF,2018-11-27,2018-11-29,178.6,178.55,1119.0,-55.94999999998254,-0.00027995520716675784
OBEROIRLTY,2018-11-26,2018-11-30,428.85,448.0,466.0,8923.899999999994,0.04465430803311175
DLF,2018-11-30,2018-12-03,178.65,180.55,1119.0,2126.100000000006,0.010635320458998072
OBEROIRLTY,2018-12-03,2018-12-04,469.5,480.0,425.0,4462.5,0.022364217252396165
GODREJPROP,2018-12-03,2018-12-06,696.0,663.0,287.0,-9471.0,-0.04741379310344827
OBEROIRLTY,2018-12-05,2018-12-06,466.45,478.0,428.0,4943.399999999994,0.024761496409047082
GODREJPROP,2018-12-07,2018-12-10,655.25,636.5,305.0,-5718.75,-0.02861503243037009
