stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
LAURUSLABS,2021-04-06,2021-10-21,397.0,575.0,251.0,44678.0,0.44836272040302266
LAURUSLABS,2023-08-03,2023-10-23,385.2,363.0,259.0,-5749.800000000003,-0.05763239875389405
NESTLEIND,2019-08-21,2020-03-18,1264.0,1370.0,79.0,8374.0,0.08386075949367089
NESTLEIND,2021-07-27,2022-02-02,1820.0,1851.5,54.0,1701.0,0.01730769230769231
DEEPAKNTR,2018-08-07,2018-10-22,267.0,234.0,374.0,-12342.0,-0.12359550561797752
DEEPAKNTR,2019-05-06,2019-08-22,285.0,261.6,350.0,-8189.999999999985,-0.08210526315789465
DEEPAKNTR,2019-12-27,2020-03-18,379.0,369.0,263.0,-2630.0,-0.026385224274406333
DEEPAKNTR,2020-07-24,2022-02-24,595.9,1863.0,167.0,211605.7,2.1263634838060077
DEEPAKNTR,2022-09-12,2022-12-21,2184.0,2048.0,45.0,-6120.0,-0.06227106227106227
ICICIBANK,2018-01-16,2018-03-06,333.55,294.75,299.0,-11601.199999999997,-0.11632438914705444
ICICIBANK,2018-07-30,2023-01-27,307.4,818.2,325.0,166010.0,1.661678594664932
VEDL,2021-07-30,2021-08-20,301.45,266.8,331.0,-11469.149999999994,-0.11494443522972293
VEDL,2021-10-18,2021-10-22,376.15,324.7,265.0,-13634.25,-0.1367805396783198
PVRINOX,2017-10-23,2017-12-05,1415.75,1265.9,70.0,-10489.5,-0.10584495850256041
PVRINOX,2019-03-18,2019-07-31,1696.0,1514.0,58.0,-10556.0,-0.10731132075471699
PVRINOX,2020-01-24,2020-03-02,1971.85,1740.0,50.0,-11592.5,-0.11757993762203003
PVRINOX,2020-12-09,2020-12-21,1491.0,1325.0,67.0,-11122.0,-0.11133467471495641
PVRINOX,2021-09-21,2021-12-01,1507.0,1355.0,66.0,-10032.0,-0.10086264100862641
PVRINOX,2022-07-21,2022-09-16,1915.0,1758.0,52.0,-8164.0,-0.08198433420365535
BEL,2019-10-18,2019-11-26,38.87,34.48,2572.0,-11291.080000000002,-0.1129405711345511
BEL,2020-06-19,2020-09-22,27.0,30.92,3703.0,14515.76000000001,0.14518518518518525
IRCTC,2020-09-07,2020-10-30,283.0,262.99,353.0,-7063.529999999999,-0.0707067137809187
IRCTC,2020-12-04,2020-12-18,315.45,283.8,317.0,-10033.049999999988,-0.10033285782215876
IRCTC,2021-06-07,2022-02-24,422.77,739.0,236.0,74630.28,0.7479953639094544
IRCTC,2022-08-18,2022-12-21,723.0,652.9,138.0,-9673.800000000003,-0.09695712309820197
IRCTC,2023-06-16,2023-10-25,666.0,656.9,150.0,-1365.0,-0.013663663663663698
JINDALSTEL,2017-10-24,2018-03-06,162.5,232.0,615.0,42742.5,0.4276923076923077
