stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
LAURUSLABS,2017-07-20,2017-08-09,119.2,110.42,1677.0,-14724.059999999998,-0.07365771812080538
DEEPAKNTR,2017-07-31,2017-08-09,162.6,153.25,1230.0,-11500.5,-0.05750307503075027
ADANIENT,2017-08-08,2017-08-09,137.7,122.25,1452.0,-22433.399999999994,-0.11220043572984742
BEL,2017-08-10,2017-08-14,51.82,53.24,3859.0,5479.779999999999,0.027402547279042875
PVRINOX,2017-08-16,2017-08-23,1328.0,1257.7,150.0,-10545.0,-0.052936746987951776
NESTLEIND,2017-08-22,2017-08-29,659.5,694.49,215.0,7522.850000000006,0.053055344958301755
DEEPAKNTR,2017-08-21,2017-08-30,163.7,176.6,1221.0,15750.900000000023,0.07880268784361641
PERSISTENT,2017-08-03,2017-09-06,633.6,598.4,315.0,-11088.0,-0.05555555555555563
ADANIENT,2017-09-01,2017-09-08,136.2,127.25,1230.0,-11008.5,-0.06571218795888392
TATAPOWER,2017-09-07,2017-09-15,77.4,84.25,2408.0,16494.79999999999,0.088501291989664
PVRINOX,2017-08-30,2017-09-22,1311.5,1224.9,152.0,-13163.199999999983,-0.06603126191383904
SBIN,2017-09-08,2017-09-27,271.45,250.4,587.0,-12356.349999999977,-0.07754650948609314
PVRINOX,2017-10-03,2017-10-09,1230.0,1391.1,122.0,19654.199999999983,0.13097560975609748
JINDALSTEL,2017-08-23,2017-10-09,133.0,158.7,1387.0,35645.899999999994,0.19323308270676684
ICICIBANK,2017-09-25,2017-10-18,279.25,263.15,671.0,-10803.100000000006,-0.05765443151298128
LAURUSLABS,2017-08-22,2017-11-06,104.0,110.34,1923.0,12191.820000000007,0.0609615384615385
PVRINOX,2017-11-07,2017-11-08,1343.0,1380.85,148.0,5601.799999999988,0.02818317200297834
VEDL,2017-11-14,2017-11-21,308.2,312.65,648.0,2883.5999999999767,0.014438676184295875
VEDL,2017-11-22,2017-11-23,309.5,309.6,646.0,64.60000000000582,0.0003231017770598473
DEEPAKNTR,2017-11-28,2017-12-04,210.45,199.55,950.0,-10355.0,-0.05179377524352567
PVRINOX,2017-11-23,2017-12-04,1346.4,1275.0,148.0,-10567.200000000012,-0.053030303030303094
VEDL,2017-11-29,2017-12-06,298.3,281.55,621.0,-10401.75,-0.05615152531009051
LAURUSLABS,2017-11-10,2017-12-08,105.6,100.0,1893.0,-10600.799999999988,-0.053030303030302976
VEDL,2017-12-11,2017-12-18,291.4,309.1,686.0,12142.200000000012,0.06074124914207291
DEEPAKNTR,2017-12-11,2017-12-20,204.4,226.75,978.0,21858.29999999999,0.10934442270058706
PVRINOX,2017-12-12,2017-12-20,1305.9,1438.0,112.0,14795.199999999983,0.10115629068075649
LAURUSLABS,2017-12-11,2017-12-21,103.0,112.98,1941.0,19371.180000000022,0.09689320388349519
GUJGASLTD,2017-12-21,2017-12-22,165.4,164.17,1209.0,-1487.070000000007,-0.00743651753325283
PERSISTENT,2017-09-15,2017-12-26,632.15,691.0,314.0,18478.899999999994,0.09309499327691216
NESTLEIND,2017-12-27,2018-01-08,773.99,793.1,258.0,4930.380000000005,0.02469024147598808
